시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,연남동,POI073,약간 붐빔,12000,14000,15,23.1,73,0,6,18,28
2024-06-08 17:14,연남동,POI073,약간 붐빔,12000,14000,16,23.1,66,0,6,11,18
2024-06-08 18:14,연남동,POI073,약간 붐빔,12000,14000,16,22.1,68,0,6,7,19
2024-06-08 19:12,연남동,POI073,약간 붐빔,14000,16000,17,21.3,70,0,1,10,14
2024-06-08 20:11,연남동,POI073,약간 붐빔,14000,16000,19,19.5,85,0,1,12,13
2024-06-08 21:20,연남동,POI073,약간 붐빔,12000,14000,20,18.7,88,0,1,12,16
2024-06-08 22:12,연남동,POI073,보통,12000,14000,21,18.1,91,0,0,15,20
2024-06-08 23:11,연남동,POI073,여유,10000,12000,21,17.8,93,0,0,16,23
2024-06-09 00:12,연남동,POI073,여유,9000,9500,23,17.6,94,0,0,18,22
2024-06-09 01:15,연남동,POI073,여유,8000,8500,23,17.2,95,0,0,16,24
2024-06-09 02:11,연남동,POI073,여유,8000,8500,25,16.8,95,0,0,14,20
2024-06-09 03:14,연남동,POI073,여유,7500,8000,24,16.5,96,0,0,13,19
2024-06-09 04:10,연남동,POI073,여유,7500,8000,24,16.3,96,0,0,16,17
2024-06-09 05:12,연남동,POI073,여유,7500,8000,24,16.6,96,0,0,13,20
2024-06-09 06:11,연남동,POI073,여유,7500,8000,23,16.9,94,0,0,18,25
2024-06-09 07:11,연남동,POI073,여유,7000,7500,22,17.7,93,0,2,17,23
2024-06-09 08:12,연남동,POI073,여유,6500,7000,21,20.8,76,0,2,14,22
2024-06-09 09:58,연남동,POI073,여유,7500,8000,20,22.4,66,0,6,15,25
2024-06-09 11:05,연남동,POI073,여유,8000,8500,19,25.7,58,0,6,14,28
2024-06-09 12:14,연남동,POI073,여유,9500,10000,20,26.3,53,0,6,16,33
2024-06-09 13:15,연남동,POI073,여유,10000,12000,18,26.2,51,0,7,14,23
2024-06-09 14:11,연남동,POI073,여유,10000,12000,17,27.2,51,0,7,17,28
