시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,난지한강공원,POI090,보통,3000,3500,31,24.1,60,0,6,11,18
2024-06-08 17:14,난지한강공원,POI090,약간 붐빔,3500,4000,33,24.6,57,0,6,8,16
2024-06-08 18:14,난지한강공원,POI090,약간 붐빔,3500,4000,35,24.5,56,0,6,3,12
2024-06-08 19:13,난지한강공원,POI090,보통,2500,3000,40,23,62,0,1,6,14
2024-06-08 20:11,난지한강공원,POI090,보통,2500,3000,42,22.3,63,0,1,9,14
2024-06-08 21:20,난지한강공원,POI090,여유,2500,3000,40,21.6,64,0,0,0,27
2024-06-08 22:12,난지한강공원,POI090,보통,2500,3000,43,21.4,64,0,0,0,26
2024-06-08 23:12,난지한강공원,POI090,여유,1500,2000,45,21,77,0,0,15,25
2024-06-09 00:12,난지한강공원,POI090,여유,1000,1500,48,19.8,86,0,0,17,28
2024-06-09 01:16,난지한강공원,POI090,여유,800,900,49,19.4,85,0,0,15,26
2024-06-09 02:11,난지한강공원,POI090,여유,600,700,49,19.4,86,0,0,12,22
2024-06-09 03:15,난지한강공원,POI090,여유,500,600,51,19.1,87,0,0,12,23
2024-06-09 04:10,난지한강공원,POI090,여유,500,600,50,18.6,89,0,0,13,26
