시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,종로·청계 관광특구,POI006,여유,28000,30000,15,24.2,69,0,6,19,24
2024-06-08 17:13,종로·청계 관광특구,POI006,여유,28000,30000,15,24.2,61,0,6,14,19
2024-06-08 18:13,종로·청계 관광특구,POI006,여유,28000,30000,15,24,60,0,6,12,20
2024-06-08 19:11,종로·청계 관광특구,POI006,여유,26000,28000,16,23.2,64,0,1,11,17
2024-06-08 20:10,종로·청계 관광특구,POI006,여유,24000,26000,18,22.5,68,0,1,12,20
2024-06-08 21:19,종로·청계 관광특구,POI006,여유,22000,24000,18,21.2,76,0,1,15,20
2024-06-08 22:11,종로·청계 관광특구,POI006,여유,18000,20000,20,20.6,79,0,0,13,19
2024-06-08 23:10,종로·청계 관광특구,POI006,여유,14000,16000,20,20.2,80,0,0,13,20
2024-06-09 00:11,종로·청계 관광특구,POI006,여유,10000,12000,22,19.6,83,0,0,13,22
2024-06-09 01:14,종로·청계 관광특구,POI006,여유,8000,8500,23,19,85,0,0,15,23
2024-06-09 02:10,종로·청계 관광특구,POI006,여유,7000,7500,24,18.6,88,0,0,20,28
2024-06-09 03:13,종로·청계 관광특구,POI006,여유,6000,6500,24,18.1,89,0,0,17,28
2024-06-09 04:09,종로·청계 관광특구,POI006,여유,5500,6000,24,17.9,90,0,0,16,25
2024-06-09 05:10,종로·청계 관광특구,POI006,여유,5000,5500,25,17.7,90,0,0,13,22
2024-06-09 06:10,종로·청계 관광특구,POI006,여유,5000,5500,23,17.5,91,0,0,14,24
2024-06-09 07:10,종로·청계 관광특구,POI006,여유,5000,5500,23,17.8,91,0,2,13,23
2024-06-09 08:11,종로·청계 관광특구,POI006,여유,6000,6500,22,20.3,84,0,2,14,22
2024-06-09 09:57,종로·청계 관광특구,POI006,여유,10000,12000,20,23.2,67,0,6,15,24
2024-06-09 11:04,종로·청계 관광특구,POI006,여유,12000,14000,19,25,61,0,6,15,26
2024-06-09 12:13,종로·청계 관광특구,POI006,여유,16000,18000,18,26,55,0,6,18,28
2024-06-09 13:14,종로·청계 관광특구,POI006,여유,20000,22000,18,26.8,50,0,7,18,27
2024-06-09 14:11,종로·청계 관광특구,POI006,여유,20000,22000,17,27.8,51,0,7,20,38
2024-06-09 15:14,종로·청계 관광특구,POI006,여유,20000,22000,17,28.8,49,0,7,19,29
2024-06-09 16:11,종로·청계 관광특구,POI006,여유,20000,22000,17,28.5,49,0,6,23,30
2024-06-09 17:13,종로·청계 관광특구,POI006,여유,20000,22000,17,27.4,52,0,6,26,34
2024-06-09 18:12,종로·청계 관광특구,POI006,여유,18000,20000,18,26.8,52,0,6,33,43
2024-06-09 19:11,종로·청계 관광특구,POI006,여유,16000,18000,19,25.9,58,0,1,30,36
2024-06-09 20:09,종로·청계 관광특구,POI006,여유,14000,16000,19,23.6,65,0,1,26,33
2024-06-09 21:20,종로·청계 관광특구,POI006,여유,12000,14000,20,22.7,68,0,0,22,33
2024-06-09 22:11,종로·청계 관광특구,POI006,여유,10000,12000,20,22,69,0,0,23,29
2024-06-09 23:10,종로·청계 관광특구,POI006,여유,8000,8500,21,21.4,71,0,0,18,27
2024-06-10 00:10,종로·청계 관광특구,POI006,여유,6500,7000,24,21,73,0,0,21,32
2024-06-10 01:13,종로·청계 관광특구,POI006,여유,6000,6500,24,20.5,76,0,0,22,32
2024-06-10 02:11,종로·청계 관광특구,POI006,여유,5000,5500,24,20,78,0,0,24,37
2024-06-10 03:13,종로·청계 관광특구,POI006,여유,5000,5500,25,19.7,79,0,0,24,36
2024-06-10 04:10,종로·청계 관광특구,POI006,여유,4500,5000,25,19.5,81,0,0,25,37
2024-06-10 05:12,종로·청계 관광특구,POI006,여유,5000,5500,24,19.3,83,0,0,23,30
2024-06-10 06:11,종로·청계 관광특구,POI006,여유,5500,6000,22,19,85,0,0,25,36
2024-06-10 07:10,종로·청계 관광특구,POI006,여유,8500,9000,20,20,83,0,2,28,47
2024-06-10 08:11,종로·청계 관광특구,POI006,여유,16000,18000,17,22,75,0,2,26,41
2024-06-10 09:54,종로·청계 관광특구,POI006,여유,28000,30000,16,25,57,0,7,24,33
2024-06-10 11:00,종로·청계 관광특구,POI006,보통,32000,34000,16,26.4,53,0,7,21,34
2024-06-10 11:37,종로·청계 관광특구,POI006,보통,36000,38000,15,27.7,54,0,7,21,34
2024-06-10 12:13,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,16,27.9,52,0,7,28,41
2024-06-10 13:16,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,16,29.5,48,0,8,25,48
2024-06-10 14:11,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,15,30.5,46,0,8,31,50
2024-06-10 15:17,종로·청계 관광특구,POI006,보통,38000,40000,15,30.9,44,0,8,27,46
2024-06-10 16:11,종로·청계 관광특구,POI006,보통,38000,40000,16,29.6,51,0,5,37,51
2024-06-10 17:16,종로·청계 관광특구,POI006,보통,36000,38000,15,29.8,51,0,5,34,58
2024-06-10 18:14,종로·청계 관광특구,POI006,보통,34000,36000,15,28.6,54,0,5,41,60
2024-06-10 19:13,종로·청계 관광특구,POI006,여유,30000,32000,16,26.8,62,0,1,36,55
2024-06-10 20:10,종로·청계 관광특구,POI006,여유,24000,26000,18,24.8,70,0,1,36,57
2024-06-10 21:21,종로·청계 관광특구,POI006,여유,18000,20000,19,23.7,75,0,0,36,55
2024-06-10 22:14,종로·청계 관광특구,POI006,여유,14000,16000,19,23.2,78,0,0,36,56
2024-06-10 23:12,종로·청계 관광특구,POI006,여유,10000,12000,20,22.9,80,0,0,32,64
2024-06-11 00:13,종로·청계 관광특구,POI006,여유,8500,9000,22,23.1,78,0,0,32,64
2024-06-11 01:14,종로·청계 관광특구,POI006,여유,7000,7500,22,22.9,78,0,0,34,64
2024-06-11 02:09,종로·청계 관광특구,POI006,여유,6000,6500,22,22.6,78,0,0,43,73
2024-06-11 03:15,종로·청계 관광특구,POI006,여유,5500,6000,23,22.4,79,0,0,45,72
2024-06-11 04:09,종로·청계 관광특구,POI006,여유,5500,6000,23,22.2,78,0,0,51,75
2024-06-11 05:11,종로·청계 관광특구,POI006,여유,5500,6000,23,22,78,0,0,43,69
2024-06-11 06:11,종로·청계 관광특구,POI006,여유,6000,6500,22,22,77,0,0,43,69
2024-06-11 07:12,종로·청계 관광특구,POI006,여유,9000,9500,19,22.2,76,0,1,42,66
2024-06-11 08:11,종로·청계 관광특구,POI006,여유,16000,18000,17,23.2,73,0,1,47,77
2024-06-11 09:53,종로·청계 관광특구,POI006,여유,28000,30000,16,25.1,65,0,8,51,77
2024-06-11 10:58,종로·청계 관광특구,POI006,보통,32000,34000,16,26.6,59,0,8,44,67
2024-06-11 11:32,종로·청계 관광특구,POI006,보통,36000,38000,16,27.6,56,0,8,44,67
2024-06-11 12:13,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,15,28.5,53,0,8,50,64
2024-06-11 13:13,종로·청계 관광특구,POI006,약간 붐빔,44000,46000,15,29.7,51,0,5,44,63
2024-06-11 14:12,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,15,30.6,50,0,5,46,67
2024-06-11 15:15,종로·청계 관광특구,POI006,보통,38000,40000,15,31.2,49,0,5,47,66
2024-06-11 16:11,종로·청계 관광특구,POI006,보통,38000,40000,15,31.4,48,0,5,47,66
2024-06-11 17:15,종로·청계 관광특구,POI006,보통,36000,38000,15,29.7,41,0,5,57,81
2024-06-11 18:13,종로·청계 관광특구,POI006,보통,34000,36000,14,28.9,43,0,5,42,66
2024-06-11 19:13,종로·청계 관광특구,POI006,보통,32000,34000,16,26.7,52,0,1,25,50
2024-06-11 20:11,종로·청계 관광특구,POI006,여유,24000,26000,19,25.2,58,0,1,19,45
2024-06-11 21:21,종로·청계 관광특구,POI006,여유,20000,22000,20,23.6,60,0,0,21,46
2024-06-11 22:14,종로·청계 관광특구,POI006,여유,16000,18000,21,23,66,0,0,18,41
2024-06-11 23:11,종로·청계 관광특구,POI006,여유,12000,14000,22,22.3,67,0,0,12,26
2024-06-12 00:11,종로·청계 관광특구,POI006,여유,8500,9000,23,21.9,68,0,0,12,26
2024-06-12 01:14,종로·청계 관광특구,POI006,여유,7000,7500,23,21.2,70,0,0,9,19
2024-06-12 02:11,종로·청계 관광특구,POI006,여유,6500,7000,23,20.7,73,0,0,10,21
2024-06-12 03:16,종로·청계 관광특구,POI006,여유,5500,6000,23,20.4,77,0,0,11,21
2024-06-12 04:09,종로·청계 관광특구,POI006,여유,5500,6000,24,20,76,0,0,15,24
2024-06-12 05:12,종로·청계 관광특구,POI006,여유,5500,6000,24,19.4,80,0,0,15,25
2024-06-12 07:10,종로·청계 관광특구,POI006,여유,9000,9500,20,19.9,82,0,1,13,27
2024-06-12 08:11,종로·청계 관광특구,POI006,여유,16000,18000,18,21.9,73,0,1,18,31
2024-06-12 09:53,종로·청계 관광특구,POI006,여유,28000,30000,16,25.3,51,0,7,13,24
2024-06-12 10:58,종로·청계 관광특구,POI006,보통,34000,36000,15,27.5,50,0,7,16,30
2024-06-12 11:33,종로·청계 관광특구,POI006,보통,36000,38000,15,28.5,46,0,7,16,30
2024-06-12 12:13,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,15,29.3,42,0,7,17,33
2024-06-12 13:14,종로·청계 관광특구,POI006,붐빔,46000,48000,14,30.6,39,0,9,17,27
2024-06-12 14:11,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,14,31.5,38,0,9,0,0
2024-06-12 15:15,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,30.9,43,0,9,0,0
2024-06-12 16:11,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,30,43,0,5,16,25
2024-06-12 17:14,종로·청계 관광특구,POI006,보통,38000,40000,14,28.7,44,0,5,35,56
2024-06-12 18:12,종로·청계 관광특구,POI006,보통,38000,40000,13,28,50,0,5,34,52
2024-06-12 19:12,종로·청계 관광특구,POI006,보통,34000,36000,14,25.3,56,0,1,24,39
2024-06-12 20:09,종로·청계 관광특구,POI006,여유,26000,28000,17,24.5,63,0,1,24,40
2024-06-12 21:21,종로·청계 관광특구,POI006,여유,22000,24000,17,23.3,65,0,0,18,31
2024-06-12 22:13,종로·청계 관광특구,POI006,여유,16000,18000,17,22.8,65,0,0,14,24
2024-06-12 23:10,종로·청계 관광특구,POI006,여유,12000,14000,20,22.6,65,0,0,11,20
2024-06-13 00:10,종로·청계 관광특구,POI006,여유,9000,9500,22,22.2,66,0,0,11,20
2024-06-13 01:14,종로·청계 관광특구,POI006,여유,7500,8000,23,22.2,67,0,0,13,21
2024-06-13 02:10,종로·청계 관광특구,POI006,여유,6500,7000,23,21.5,64,0,0,16,25
2024-06-13 03:15,종로·청계 관광특구,POI006,여유,6000,6500,23,21,65,0,0,11,18
2024-06-13 04:10,종로·청계 관광특구,POI006,여유,5500,6000,24,20.7,69,0,0,13,18
2024-06-13 05:11,종로·청계 관광특구,POI006,여유,5500,6000,24,20.1,69,0,0,14,21
2024-06-13 06:11,종로·청계 관광특구,POI006,여유,6000,6500,22,20.1,71,0,0,13,25
2024-06-13 07:11,종로·청계 관광특구,POI006,여유,9000,9500,19,21.1,72,0,2,14,23
2024-06-13 08:11,종로·청계 관광특구,POI006,여유,16000,18000,17,23.3,66,0,2,16,24
2024-06-13 09:52,종로·청계 관광특구,POI006,여유,28000,30000,16,26.6,56,0,7,15,33
2024-06-13 10:57,종로·청계 관광특구,POI006,보통,32000,34000,15,28.6,46,0,7,19,37
2024-06-13 11:31,종로·청계 관광특구,POI006,보통,36000,38000,15,29.3,42,0,7,19,37
2024-06-13 12:12,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,15,30.6,41,0,7,18,35
2024-06-13 13:14,종로·청계 관광특구,POI006,붐빔,42000,44000,15,31.5,32,0,8,17,34
2024-06-13 14:13,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,32.2,36,0,8,16,32
2024-06-13 15:15,종로·청계 관광특구,POI006,보통,38000,40000,14,32.3,38,0,8,16,32
2024-06-13 16:11,종로·청계 관광특구,POI006,보통,38000,40000,14,32.6,33,0,5,22,40
2024-06-13 17:14,종로·청계 관광특구,POI006,보통,36000,38000,14,31.8,35,0,5,29,49
2024-06-13 18:13,종로·청계 관광특구,POI006,보통,36000,38000,14,31,37,0,5,24,41
2024-06-13 19:11,종로·청계 관광특구,POI006,보통,32000,34000,15,29.6,43,0,1,19,35
2024-06-13 20:10,종로·청계 관광특구,POI006,여유,26000,28000,18,27.8,43,0,1,18,32
2024-06-13 21:21,종로·청계 관광특구,POI006,여유,22000,24000,18,26.3,48,0,0,18,31
2024-06-13 22:13,종로·청계 관광특구,POI006,여유,18000,20000,18,25.6,51,0,0,18,30
2024-06-13 23:11,종로·청계 관광특구,POI006,여유,12000,14000,20,24.9,53,0,0,15,25
2024-06-14 00:12,종로·청계 관광특구,POI006,여유,9000,9500,21,24,53,0,0,15,25
2024-06-14 01:15,종로·청계 관광특구,POI006,여유,7500,8000,22,23.5,58,0,0,14,22
2024-06-14 02:10,종로·청계 관광특구,POI006,여유,7000,7500,22,23.1,58,0,0,14,22
2024-06-14 03:15,종로·청계 관광특구,POI006,여유,6000,6500,22,22.3,60,0,0,14,22
2024-06-14 04:09,종로·청계 관광특구,POI006,여유,6000,6500,22,21.9,69,0,0,16,26
2024-06-14 05:12,종로·청계 관광특구,POI006,여유,6000,6500,23,21.7,74,0,0,16,28
2024-06-14 06:12,종로·청계 관광특구,POI006,여유,6500,7000,22,21.6,72,0,0,15,23
2024-06-14 07:11,종로·청계 관광특구,POI006,여유,9000,9500,19,22.4,70,0,1,14,22
2024-06-14 08:12,종로·청계 관광특구,POI006,여유,16000,18000,17,24.1,66,0,1,14,27
2024-06-14 09:52,종로·청계 관광특구,POI006,여유,28000,30000,16,27.9,48,0,5,17,33
2024-06-14 10:57,종로·청계 관광특구,POI006,보통,32000,34000,15,29.6,43,0,5,17,33
2024-06-14 11:32,종로·청계 관광특구,POI006,보통,36000,38000,14,30.5,37,0,5,20,32
2024-06-14 12:12,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,31.6,35,0,5,19,35
2024-06-14 13:14,종로·청계 관광특구,POI006,약간 붐빔,42000,44000,15,31.9,39,0,8,21,35
2024-06-14 14:11,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,32.6,38,0,8,21,37
2024-06-14 15:16,종로·청계 관광특구,POI006,약간 붐빔,40000,42000,14,32.3,43,0,8,25,40
2024-06-14 16:11,종로·청계 관광특구,POI006,보통,38000,40000,13,31.1,37,0,5,28,46
2024-06-14 17:14,종로·청계 관광특구,POI006,보통,38000,40000,13,28.3,47,0,5,32,55
2024-06-14 18:12,종로·청계 관광특구,POI006,보통,36000,38000,12,27.7,52,0,5,32,55
2024-06-14 19:11,종로·청계 관광특구,POI006,보통,36000,38000,14,26.2,55,0,1,30,48
2024-06-14 20:09,종로·청계 관광특구,POI006,여유,28000,30000,17,25.6,58,0,1,31,43
2024-06-14 21:21,종로·청계 관광특구,POI006,여유,24000,26000,19,24.8,61,0,0,24,35
2024-06-14 22:13,종로·청계 관광특구,POI006,여유,22000,24000,19,24.3,67,0,0,22,31
2024-06-14 23:12,종로·청계 관광특구,POI006,여유,16000,18000,19,24,66,0,0,20,29
2024-06-15 00:13,종로·청계 관광특구,POI006,여유,10000,12000,20,23.9,66,0,0,20,29
2024-06-15 01:13,종로·청계 관광특구,POI006,여유,8500,9000,22,23.6,67,0,0,19,28
2024-06-15 02:11,종로·청계 관광특구,POI006,여유,7500,8000,22,23.4,68,0,0,21,28
2024-06-15 03:15,종로·청계 관광특구,POI006,여유,6000,6500,23,23.3,69,0,0,23,30
2024-06-15 04:09,종로·청계 관광특구,POI006,여유,5500,6000,23,22.8,75,~1mm,0,24,32
2024-06-15 05:12,종로·청계 관광특구,POI006,여유,5000,5500,23,21.9,84,0,0,27,31
