시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,남대문시장,POI115,여유,10000,12000,14,24.2,69,0,6,16,23
2024-06-08 17:14,남대문시장,POI115,여유,9000,9500,14,24.2,61,0,6,14,18
2024-06-08 18:14,남대문시장,POI115,여유,7000,7500,15,24,60,0,6,16,0
2024-06-08 19:13,남대문시장,POI115,여유,5500,6000,17,23.2,64,0,1,8,11
2024-06-08 20:11,남대문시장,POI115,여유,4000,4500,18,22,72,0,1,10,11
2024-06-08 22:13,남대문시장,POI115,여유,1000,1500,21,20.6,79,0,0,13,15
2024-06-08 23:12,남대문시장,POI115,여유,1000,1500,23,20.2,80,0,0,12,16
2024-06-09 00:13,남대문시장,POI115,여유,800,900,27,19.6,83,0,0,16,19
2024-06-09 01:16,남대문시장,POI115,여유,700,800,28,19,85,0,0,14,20
2024-06-09 02:12,남대문시장,POI115,여유,600,700,25,18.6,88,0,0,16,23
2024-06-09 03:15,남대문시장,POI115,여유,600,700,25,18.1,89,0,0,17,25
2024-06-09 04:11,남대문시장,POI115,여유,600,700,27,17.7,90,0,0,15,21
2024-06-09 05:12,남대문시장,POI115,여유,600,700,26,17.7,90,0,0,14,20
2024-06-09 06:12,남대문시장,POI115,여유,700,800,23,17.4,91,0,0,14,21
2024-06-09 07:11,남대문시장,POI115,여유,800,900,23,18.2,91,0,2,14,20
2024-06-09 08:13,남대문시장,POI115,여유,1000,1500,23,20.3,84,0,2,15,21
2024-06-09 09:58,남대문시장,POI115,여유,2000,2500,21,23.2,67,0,6,14,22
2024-06-09 11:05,남대문시장,POI115,여유,3500,4000,18,25,61,0,6,6,12
2024-06-09 12:14,남대문시장,POI115,여유,5500,6000,18,26,55,0,6,18,0
2024-06-09 13:15,남대문시장,POI115,여유,6000,6500,18,26.8,50,0,7,20,22
2024-06-09 14:12,남대문시장,POI115,여유,6000,6500,18,27.8,51,0,7,19,26
2024-06-09 15:16,남대문시장,POI115,여유,6500,7000,16,28.8,49,0,7,18,22
2024-06-09 16:12,남대문시장,POI115,여유,6000,6500,16,28.5,49,0,6,21,23
2024-06-09 17:14,남대문시장,POI115,여유,5500,6000,17,27.4,52,0,6,25,29
2024-06-09 18:13,남대문시장,POI115,여유,5000,5500,18,26.8,52,0,6,34,36
2024-06-09 19:12,남대문시장,POI115,여유,4000,4500,19,25.3,60,0,1,28,32
2024-06-09 20:10,남대문시장,POI115,여유,3000,3500,19,23.4,65,0,1,19,27
2024-06-09 21:22,남대문시장,POI115,여유,1500,2000,21,22.7,68,0,0,21,26
2024-06-09 22:13,남대문시장,POI115,여유,1000,1500,22,22,69,0,0,18,24
2024-06-09 23:12,남대문시장,POI115,여유,1000,1500,23,21.4,72,0,0,18,25
2024-06-10 00:12,남대문시장,POI115,여유,800,900,25,21,73,0,0,24,31
2024-06-10 01:14,남대문시장,POI115,여유,800,900,25,20.5,76,0,0,19,26
2024-06-10 02:12,남대문시장,POI115,여유,700,800,25,20,78,0,0,23,30
2024-06-10 03:15,남대문시장,POI115,여유,600,700,27,19.7,79,0,0,22,28
2024-06-10 04:11,남대문시장,POI115,여유,600,700,26,19.5,81,0,0,22,27
2024-06-10 05:14,남대문시장,POI115,여유,600,700,27,19.3,83,0,0,23,27
2024-06-10 06:13,남대문시장,POI115,여유,800,900,22,19,85,0,0,27,29
2024-06-10 07:12,남대문시장,POI115,여유,1000,1500,19,20,83,0,2,27,35
2024-06-10 08:13,남대문시장,POI115,여유,3000,3500,17,22,75,0,2,24,34
2024-06-10 09:56,남대문시장,POI115,여유,8000,8500,17,25,57,0,7,20,27
