시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,청와대,POI113,보통,1000,1500,18,24.2,69,0,6,19,24
2024-06-08 17:14,청와대,POI113,보통,800,900,19,24.2,61,0,6,14,19
2024-06-08 18:14,청와대,POI113,여유,300,400,19,24,60,0,6,12,20
2024-06-08 19:13,청와대,POI113,여유,100,200,19,23.2,64,0,1,11,17
2024-06-08 20:11,청와대,POI113,여유,100,200,20,22,72,0,1,12,20
2024-06-08 21:20,청와대,POI113,여유,100,200,21,21,77,0,0,15,20
2024-06-08 22:13,청와대,POI113,여유,0,100,22,20.6,79,0,0,13,19
2024-06-08 23:12,청와대,POI113,여유,0,100,24,20.2,80,0,0,13,20
2024-06-09 00:13,청와대,POI113,여유,0,100,25,19.6,83,0,0,13,22
2024-06-09 01:16,청와대,POI113,여유,0,100,26,19,85,0,0,15,23
2024-06-09 02:12,청와대,POI113,여유,0,100,26,18.6,88,0,0,20,28
2024-06-09 03:15,청와대,POI113,여유,0,100,25,18.1,89,0,0,17,28
2024-06-09 04:11,청와대,POI113,여유,0,100,26,17.7,90,0,0,16,25
2024-06-09 05:12,청와대,POI113,여유,0,100,25,17.7,90,0,0,13,22
2024-06-09 06:11,청와대,POI113,여유,0,100,23,17.4,91,0,0,14,24
2024-06-09 07:11,청와대,POI113,여유,0,100,24,18.2,91,0,2,13,23
2024-06-09 08:13,청와대,POI113,여유,100,200,23,20.3,84,0,2,14,22
2024-06-09 09:58,청와대,POI113,여유,300,400,20,23.2,67,0,6,15,24
2024-06-09 11:05,청와대,POI113,여유,700,800,20,25,61,0,6,15,26
2024-06-09 12:14,청와대,POI113,여유,600,700,17,26,55,0,6,18,28
2024-06-09 13:15,청와대,POI113,여유,600,700,17,26.8,50,0,7,18,27
2024-06-09 14:12,청와대,POI113,여유,600,700,17,27.8,51,0,7,20,38
2024-06-09 15:16,청와대,POI113,여유,600,700,16,28.8,49,0,7,19,29
2024-06-09 16:12,청와대,POI113,여유,600,700,18,28.5,49,0,6,23,30
2024-06-09 17:14,청와대,POI113,여유,400,500,18,27.4,52,0,6,26,34
2024-06-09 18:13,청와대,POI113,여유,200,300,21,26.8,52,0,6,33,43
2024-06-09 19:12,청와대,POI113,여유,100,200,20,25.3,60,0,1,30,36
2024-06-09 20:10,청와대,POI113,여유,100,200,21,23.4,65,0,1,26,33
2024-06-09 21:22,청와대,POI113,여유,100,200,21,22.7,68,0,0,22,33
2024-06-09 22:13,청와대,POI113,여유,0,100,23,22,69,0,0,23,29
2024-06-09 23:12,청와대,POI113,여유,0,100,23,21.4,72,0,0,18,27
2024-06-10 00:12,청와대,POI113,여유,0,100,25,21,73,0,0,21,32
2024-06-10 01:14,청와대,POI113,여유,0,100,26,20.5,76,0,0,22,32
2024-06-10 02:12,청와대,POI113,여유,0,100,25,20,78,0,0,24,37
2024-06-10 03:15,청와대,POI113,여유,0,100,24,19.7,79,0,0,24,36
2024-06-10 04:11,청와대,POI113,여유,0,100,26,19.5,81,0,0,25,37
2024-06-10 05:14,청와대,POI113,여유,0,100,24,19.3,83,0,0,23,30
2024-06-10 06:13,청와대,POI113,여유,0,100,23,19,85,0,0,25,36
2024-06-10 07:12,청와대,POI113,여유,0,100,23,20,83,0,2,28,47
2024-06-10 08:13,청와대,POI113,여유,0,100,20,22,75,0,2,26,41
