시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,고척돔,POI086,약간 붐빔,3000,3500,31,24.4,60,0,6,14,21
2024-06-08 17:14,고척돔,POI086,약간 붐빔,8000,8500,31,24.2,60,0,6,9,15
2024-06-08 18:14,고척돔,POI086,약간 붐빔,9000,9500,33,24,61,0,6,11,15
2024-06-08 19:13,고척돔,POI086,약간 붐빔,9000,9500,34,22.8,65,0,1,10,18
2024-06-08 20:11,고척돔,POI086,약간 붐빔,8500,9000,32,21.9,70,0,1,10,10
2024-06-08 21:20,고척돔,POI086,여유,1000,1500,32,21.3,71,0,0,8,14
2024-06-08 22:12,고척돔,POI086,여유,900,1000,35,20.9,76,0,0,9,10
2024-06-08 23:11,고척돔,POI086,여유,800,900,36,20.3,80,0,0,9,16
2024-06-09 00:12,고척돔,POI086,여유,700,800,40,19.9,81,0,0,9,14
2024-06-09 01:16,고척돔,POI086,여유,700,800,40,19.5,83,0,0,16,22
2024-06-09 02:11,고척돔,POI086,여유,600,700,43,19,85,0,0,23,27
2024-06-09 03:14,고척돔,POI086,여유,600,700,40,18.8,86,0,0,14,21
2024-06-09 04:10,고척돔,POI086,여유,500,600,38,18.4,87,0,0,15,22
2024-06-09 05:12,고척돔,POI086,여유,500,600,40,18.2,88,0,0,16,23
2024-06-09 06:11,고척돔,POI086,여유,500,600,38,18,88,0,0,14,23
2024-06-09 07:11,고척돔,POI086,여유,500,600,39,20.2,77,0,2,17,20
2024-06-09 08:12,고척돔,POI086,여유,600,700,38,22.4,68,0,2,16,23
2024-06-09 09:58,고척돔,POI086,여유,800,900,33,23.8,57,0,6,15,20
2024-06-09 11:05,고척돔,POI086,여유,1000,1500,31,24.3,50,0,6,12,21
2024-06-09 12:14,고척돔,POI086,여유,1000,1500,31,26.9,45,0,6,14,23
2024-06-09 13:15,고척돔,POI086,붐빔,2500,3000,28,27,47,0,7,21,30
2024-06-09 14:12,고척돔,POI086,붐빔,7000,7500,29,26.6,52,0,7,25,37
2024-06-09 15:16,고척돔,POI086,붐빔,8500,9000,30,28.3,48,0,7,20,35
2024-06-09 16:12,고척돔,POI086,붐빔,8000,8500,31,27.2,47,0,6,19,35
2024-06-09 17:14,고척돔,POI086,붐빔,7500,8000,29,26.4,50,0,6,26,37
2024-06-09 18:13,고척돔,POI086,여유,1000,1500,28,25.6,54,0,6,23,37
2024-06-09 19:12,고척돔,POI086,여유,900,1000,29,24.1,61,0,1,22,34
2024-06-09 20:10,고척돔,POI086,여유,900,1000,32,22.9,65,0,1,14,35
2024-06-09 21:21,고척돔,POI086,여유,600,700,30,22.3,68,0,0,22,33
2024-06-09 22:12,고척돔,POI086,여유,700,800,33,22.2,69,0,0,17,36
2024-06-09 23:11,고척돔,POI086,여유,700,800,34,21.6,71,0,0,20,34
2024-06-10 00:12,고척돔,POI086,여유,600,700,37,21.3,73,0,0,25,32
2024-06-10 01:14,고척돔,POI086,여유,500,600,37,20.8,75,0,0,25,31
2024-06-10 02:12,고척돔,POI086,여유,500,600,36,20.3,79,0,0,26,42
2024-06-10 03:15,고척돔,POI086,여유,500,600,37,20.1,80,0,0,28,37
2024-06-10 04:11,고척돔,POI086,여유,500,600,35,19.6,82,0,0,25,41
2024-06-10 05:13,고척돔,POI086,여유,500,600,36,19.4,83,0,0,30,41
2024-06-10 06:12,고척돔,POI086,여유,600,700,35,19.9,81,0,0,28,38
2024-06-10 07:12,고척돔,POI086,여유,700,800,28,21.4,75,0,2,30,48
