시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,강서한강공원,POI085,여유,100,200,56,24.7,64,0,6,11,18
2024-06-08 17:14,강서한강공원,POI085,보통,100,200,55,24.6,57,0,6,8,16
2024-06-08 18:14,강서한강공원,POI085,여유,0,100,59,24.5,64,0,6,3,12
2024-06-08 19:13,강서한강공원,POI085,여유,0,100,59,22.9,71,0,1,6,14
2024-06-08 20:11,강서한강공원,POI085,여유,0,100,60,21.5,79,0,1,9,14
2024-06-08 21:20,강서한강공원,POI085,여유,0,100,60,20.3,85,0,0,0,27
2024-06-08 22:12,강서한강공원,POI085,여유,0,100,61,19.7,90,0,0,0,26
2024-06-08 23:11,강서한강공원,POI085,여유,0,100,62,19.2,91,0,0,15,25
2024-06-09 00:12,강서한강공원,POI085,여유,0,100,66,18.8,91,0,0,17,28
2024-06-09 01:16,강서한강공원,POI085,여유,0,100,68,18.2,93,0,0,15,26
2024-06-09 02:11,강서한강공원,POI085,여유,0,100,67,17.9,95,0,0,12,22
2024-06-09 03:14,강서한강공원,POI085,여유,0,100,65,17.7,96,0,0,12,23
2024-06-09 04:10,강서한강공원,POI085,여유,0,100,67,16.8,96,0,0,13,26
2024-06-09 05:12,강서한강공원,POI085,여유,0,100,68,16.5,96,0,0,13,25
2024-06-09 06:11,강서한강공원,POI085,여유,0,100,68,17.1,97,0,0,13,23
2024-06-09 07:11,강서한강공원,POI085,여유,0,100,66,17.9,94,0,2,13,24
2024-06-09 08:12,강서한강공원,POI085,여유,0,100,65,18.9,91,0,2,13,24
2024-06-09 09:58,강서한강공원,POI085,여유,0,100,61,22.1,74,0,6,14,23
2024-06-09 11:05,강서한강공원,POI085,여유,100,200,60,23.7,57,0,6,15,26
2024-06-09 12:14,강서한강공원,POI085,여유,0,100,61,25.8,40,0,6,12,23
2024-06-09 13:15,강서한강공원,POI085,여유,100,200,60,26.3,53,0,7,14,25
2024-06-09 14:12,강서한강공원,POI085,보통,100,200,57,27.5,49,0,7,17,27
2024-06-09 15:16,강서한강공원,POI085,여유,100,200,54,28.9,45,0,7,26,36
2024-06-09 16:12,강서한강공원,POI085,여유,100,200,58,27.5,46,0,6,30,39
2024-06-09 17:14,강서한강공원,POI085,여유,100,200,59,27,54,0,6,30,42
2024-06-09 18:13,강서한강공원,POI085,여유,100,200,59,25.4,61,0,6,22,36
2024-06-09 19:12,강서한강공원,POI085,여유,0,100,61,23.8,65,0,1,22,34
2024-06-09 20:10,강서한강공원,POI085,여유,0,100,62,22.8,70,0,1,20,33
2024-06-09 21:21,강서한강공원,POI085,여유,0,100,60,21.7,73,0,0,21,34
2024-06-09 22:12,강서한강공원,POI085,여유,0,100,63,21.5,73,0,0,20,31
2024-06-09 23:11,강서한강공원,POI085,여유,0,100,65,20.6,80,0,0,17,32
2024-06-10 00:12,강서한강공원,POI085,여유,0,100,68,20.5,81,0,0,19,30
2024-06-10 01:14,강서한강공원,POI085,여유,0,100,68,20.1,82,0,0,19,32
2024-06-10 02:12,강서한강공원,POI085,여유,0,100,69,20.3,81,0,0,23,35
2024-06-10 03:15,강서한강공원,POI085,여유,0,100,69,18.8,90,0,0,20,34
2024-06-10 04:11,강서한강공원,POI085,여유,0,100,68,18.4,91,0,0,21,32
2024-06-10 05:13,강서한강공원,POI085,여유,0,100,68,18.7,91,0,0,22,37
2024-06-10 06:12,강서한강공원,POI085,여유,0,100,59,19.7,87,0,0,26,43
2024-06-10 07:12,강서한강공원,POI085,여유,100,200,55,21.5,78,0,2,29,49
2024-06-10 08:12,강서한강공원,POI085,여유,100,200,54,23.3,65,0,2,27,46
2024-06-10 09:55,강서한강공원,POI085,여유,0,100,54,25.4,52,0,7,16,31
2024-06-10 11:01,강서한강공원,POI085,여유,0,100,54,27.2,54,0,7,15,34
2024-06-10 11:38,강서한강공원,POI085,여유,0,100,59,27.6,53,0,7,15,34
2024-06-10 12:14,강서한강공원,POI085,여유,0,100,57,28.5,49,0,7,19,42
2024-06-10 13:18,강서한강공원,POI085,여유,0,100,59,30,46,0,8,0,0
2024-06-10 14:13,강서한강공원,POI085,여유,0,100,58,29.9,43,0,8,23,49
2024-06-10 15:18,강서한강공원,POI085,여유,0,100,56,31.4,44,0,8,24,48
2024-06-10 16:13,강서한강공원,POI085,여유,0,100,59,30,49,0,5,28,55
2024-06-10 17:17,강서한강공원,POI085,여유,0,100,54,28.5,53,0,5,33,58
2024-06-10 18:15,강서한강공원,POI085,여유,0,100,56,27.4,58,0,5,32,55
2024-06-10 19:14,강서한강공원,POI085,여유,0,100,59,24.9,71,0,1,31,53
2024-06-10 20:11,강서한강공원,POI085,여유,0,100,60,23.7,77,0,1,29,49
2024-06-10 21:22,강서한강공원,POI085,여유,0,100,60,23.2,79,0,0,32,58
2024-06-10 22:15,강서한강공원,POI085,여유,0,100,61,22.7,83,0,0,34,62
2024-06-10 23:14,강서한강공원,POI085,여유,0,100,64,23,81,0,0,33,59
2024-06-11 00:14,강서한강공원,POI085,여유,0,100,66,23.3,77,0,0,33,59
2024-06-11 01:15,강서한강공원,POI085,여유,0,100,66,23.1,79,0,0,35,64
2024-06-11 02:11,강서한강공원,POI085,여유,0,100,66,22.8,80,0,0,43,74
2024-06-11 03:16,강서한강공원,POI085,여유,0,100,65,22.5,80,0,0,43,71
2024-06-11 04:10,강서한강공원,POI085,여유,0,100,65,22.5,79,0,0,45,74
2024-06-11 05:13,강서한강공원,POI085,여유,0,100,66,22.3,81,0,0,41,69
2024-06-11 06:13,강서한강공원,POI085,여유,0,100,62,22.3,79,0,0,37,68
2024-06-11 07:13,강서한강공원,POI085,여유,100,200,54,22.8,76,0,1,38,66
2024-06-11 08:12,강서한강공원,POI085,여유,0,100,54,22.5,73,0,1,42,74
2024-06-11 09:54,강서한강공원,POI085,여유,0,100,54,25.3,63,0,8,39,67
2024-06-11 10:59,강서한강공원,POI085,여유,0,100,56,26.2,59,0,8,44,68
2024-06-11 11:34,강서한강공원,POI085,여유,0,100,57,28.2,56,0,8,44,68
2024-06-11 12:14,강서한강공원,POI085,여유,0,100,60,28.9,53,0,8,41,69
2024-06-11 13:15,강서한강공원,POI085,여유,0,100,60,29.2,51,0,5,47,73
2024-06-11 14:14,강서한강공원,POI085,여유,0,100,57,30.7,49,0,5,50,79
2024-06-11 15:17,강서한강공원,POI085,여유,0,100,58,31.1,46,0,5,0,0
2024-06-11 16:13,강서한강공원,POI085,여유,0,100,57,29.5,45,0,5,0,0
2024-06-11 17:16,강서한강공원,POI085,여유,0,100,55,29.6,44,0,5,24,43
2024-06-11 18:14,강서한강공원,POI085,여유,0,100,51,27.3,53,0,5,33,66
2024-06-11 19:14,강서한강공원,POI085,여유,0,100,54,25.5,60,0,1,16,51
2024-06-11 20:12,강서한강공원,POI085,여유,0,100,61,24.5,61,0,1,15,44
2024-06-11 21:23,강서한강공원,POI085,여유,0,100,60,22.9,72,0,0,14,38
2024-06-11 22:15,강서한강공원,POI085,여유,0,100,62,22.6,74,0,0,12,28
2024-06-11 23:12,강서한강공원,POI085,여유,0,100,61,21.8,78,0,0,12,26
2024-06-12 00:13,강서한강공원,POI085,여유,0,100,65,20.9,80,0,0,12,26
2024-06-12 01:16,강서한강공원,POI085,여유,0,100,67,20,84,0,0,10,26
2024-06-12 02:13,강서한강공원,POI085,여유,0,100,67,19.9,83,0,0,7,22
2024-06-12 03:17,강서한강공원,POI085,여유,0,100,67,19.5,89,0,0,10,22
2024-06-12 04:11,강서한강공원,POI085,여유,0,100,66,18.3,87,0,0,9,24
2024-06-12 05:13,강서한강공원,POI085,여유,0,100,67,18.6,89,0,0,10,25
2024-06-12 07:12,강서한강공원,POI085,여유,0,100,55,21.1,78,0,1,12,25
2024-06-12 08:12,강서한강공원,POI085,여유,100,200,55,22.2,73,0,1,13,27
2024-06-12 09:54,강서한강공원,POI085,여유,100,200,51,26.6,52,0,7,7,22
2024-06-12 10:59,강서한강공원,POI085,보통,100,200,51,27.8,43,0,7,11,28
2024-06-12 11:34,강서한강공원,POI085,여유,0,100,56,28.8,41,0,7,11,28
2024-06-12 12:14,강서한강공원,POI085,여유,0,100,57,30.9,37,0,7,13,31
2024-06-12 13:15,강서한강공원,POI085,여유,0,100,58,30.9,38,0,9,13,32
2024-06-12 14:14,강서한강공원,POI085,여유,0,100,58,29.8,48,0,9,16,31
2024-06-12 15:17,강서한강공원,POI085,여유,0,100,56,30,43,0,9,26,41
2024-06-12 16:13,강서한강공원,POI085,여유,0,100,56,29.2,39,0,5,29,48
2024-06-12 17:16,강서한강공원,POI085,여유,100,200,52,28.4,46,0,5,25,42
2024-06-12 18:13,강서한강공원,POI085,여유,100,200,55,25.7,53,0,5,21,36
2024-06-12 19:13,강서한강공원,POI085,여유,0,100,58,24.4,54,0,1,17,32
2024-06-12 20:11,강서한강공원,POI085,여유,0,100,59,24.1,54,0,1,17,36
2024-06-12 21:22,강서한강공원,POI085,여유,0,100,59,23.2,64,0,0,20,34
2024-06-12 22:15,강서한강공원,POI085,여유,0,100,59,22.6,67,0,0,15,27
2024-06-12 23:11,강서한강공원,POI085,여유,0,100,63,22.8,67,0,0,14,25
2024-06-13 00:11,강서한강공원,POI085,여유,0,100,66,22.2,71,0,0,14,25
2024-06-13 01:15,강서한강공원,POI085,여유,0,100,66,23.6,56,0,0,13,25
2024-06-13 02:11,강서한강공원,POI085,여유,0,100,66,21,81,0,0,12,28
2024-06-13 03:16,강서한강공원,POI085,여유,0,100,67,20.1,79,0,0,15,30
2024-06-13 04:11,강서한강공원,POI085,여유,0,100,66,19.9,79,0,0,14,30
2024-06-13 05:13,강서한강공원,POI085,여유,0,100,67,18.8,83,0,0,15,28
2024-06-13 06:12,강서한강공원,POI085,여유,0,100,60,19.4,80,0,0,16,31
2024-06-13 07:12,강서한강공원,POI085,여유,0,100,55,21.3,75,0,2,16,31
2024-06-13 08:12,강서한강공원,POI085,여유,0,100,54,23.5,68,0,2,19,31
2024-06-13 09:53,강서한강공원,POI085,여유,0,100,53,27.5,55,0,7,16,30
2024-06-13 10:59,강서한강공원,POI085,여유,100,200,52,28.8,50,0,7,18,35
2024-06-13 11:32,강서한강공원,POI085,여유,0,100,56,29.8,44,0,7,18,35
2024-06-13 12:14,강서한강공원,POI085,여유,0,100,59,30.7,34,0,7,21,39
2024-06-13 13:15,강서한강공원,POI085,여유,0,100,60,30.9,45,0,8,17,34
2024-06-13 14:15,강서한강공원,POI085,여유,0,100,55,31.9,38,0,8,18,39
2024-06-13 15:17,강서한강공원,POI085,여유,0,100,55,32.7,35,0,8,27,49
2024-06-13 16:13,강서한강공원,POI085,여유,0,100,57,32.1,27,0,5,17,31
2024-06-13 17:16,강서한강공원,POI085,여유,100,200,52,30.6,39,0,5,11,25
2024-06-13 18:14,강서한강공원,POI085,여유,100,200,51,29.3,44,0,5,12,28
2024-06-13 19:13,강서한강공원,POI085,여유,100,200,54,27.6,56,0,1,14,31
2024-06-13 20:11,강서한강공원,POI085,여유,0,100,60,26.5,59,0,1,13,27
2024-06-13 21:22,강서한강공원,POI085,여유,0,100,60,26.9,53,0,0,15,30
2024-06-13 22:15,강서한강공원,POI085,여유,0,100,60,24.1,68,0,0,14,26
2024-06-13 23:13,강서한강공원,POI085,여유,0,100,61,23.4,72,0,0,16,28
2024-06-14 00:14,강서한강공원,POI085,여유,0,100,65,22.7,76,0,0,16,28
2024-06-14 01:16,강서한강공원,POI085,여유,0,100,66,22,65,0,0,15,30
2024-06-14 02:12,강서한강공원,POI085,여유,0,100,66,21.6,79,0,0,13,27
2024-06-14 03:17,강서한강공원,POI085,여유,0,100,65,21.1,83,0,0,15,28
2024-06-14 04:10,강서한강공원,POI085,여유,0,100,66,20.6,88,0,0,17,26
2024-06-14 05:13,강서한강공원,POI085,여유,0,100,66,19.9,85,0,0,17,25
2024-06-14 06:13,강서한강공원,POI085,여유,0,100,62,20.5,82,0,0,18,25
2024-06-14 07:13,강서한강공원,POI085,여유,0,100,55,21.8,79,0,1,16,27
2024-06-14 08:13,강서한강공원,POI085,여유,0,100,54,23.6,75,0,1,16,29
2024-06-14 09:54,강서한강공원,POI085,보통,100,200,51,27.5,52,0,5,15,30
2024-06-14 10:58,강서한강공원,POI085,보통,100,200,52,30.2,36,0,5,15,30
2024-06-14 11:33,강서한강공원,POI085,여유,100,200,52,31,35,0,5,18,36
2024-06-14 12:14,강서한강공원,POI085,여유,100,200,53,32.4,36,0,5,16,35
2024-06-14 13:15,강서한강공원,POI085,여유,0,100,55,31.9,38,0,8,19,36
2024-06-14 14:12,강서한강공원,POI085,여유,0,100,54,31.5,40,0,8,22,43
2024-06-14 15:17,강서한강공원,POI085,여유,0,100,55,32.4,38,0,8,27,45
2024-06-14 16:13,강서한강공원,POI085,여유,100,200,51,29.1,45,0,5,32,53
2024-06-14 17:15,강서한강공원,POI085,여유,0,100,52,27.4,55,0,5,29,55
2024-06-14 18:14,강서한강공원,POI085,여유,100,200,50,26.2,57,0,5,29,55
2024-06-14 19:13,강서한강공원,POI085,여유,0,100,53,25.3,59,0,1,23,39
2024-06-14 20:11,강서한강공원,POI085,여유,0,100,59,25,63,0,1,18,30
2024-06-14 21:22,강서한강공원,POI085,여유,0,100,58,24.1,71,0,0,18,29
2024-06-14 23:13,강서한강공원,POI085,여유,0,100,62,24.1,69,0,0,20,33
2024-06-15 00:15,강서한강공원,POI085,여유,0,100,64,24,68,0,0,20,33
2024-06-15 01:14,강서한강공원,POI085,여유,0,100,67,23.9,71,0,0,20,33
2024-06-15 02:12,강서한강공원,POI085,여유,0,100,67,23,78,0,0,21,31
2024-06-15 03:17,강서한강공원,POI085,여유,0,100,65,22.9,78,0,0,23,32
2024-06-15 04:11,강서한강공원,POI085,여유,0,100,66,23.3,77,0,0,23,32
2024-06-15 05:14,강서한강공원,POI085,여유,0,100,63,22.8,80,0,0,22,30
2024-06-15 06:13,강서한강공원,POI085,여유,0,100,62,21.4,92,1.0mm,0,22,33
2024-06-15 07:13,강서한강공원,POI085,여유,0,100,63,22.1,91,0,1,19,27
2024-06-15 08:12,강서한강공원,POI085,여유,0,100,62,23.7,78,0,1,17,26
2024-06-15 09:54,강서한강공원,POI085,여유,0,100,57,25.3,70,0,2,20,25
2024-06-15 10:57,강서한강공원,POI085,여유,100,200,53,26.2,70,0,2,22,30
2024-06-15 11:30,강서한강공원,POI085,여유,0,100,58,25,70,0,2,22,30
2024-06-15 12:13,강서한강공원,POI085,여유,100,200,52,24.5,76,0,2,21,28
2024-06-15 13:15,강서한강공원,POI085,여유,100,200,55,25.6,71,0,5,14,22
2024-06-15 14:13,강서한강공원,POI085,여유,100,200,54,27.3,63,0,5,17,25
2024-06-15 15:15,강서한강공원,POI085,여유,100,200,56,28.7,54,0,5,12,20
2024-06-15 16:14,강서한강공원,POI085,보통,100,200,54,29.4,54,0,5,12,17
2024-06-15 17:15,강서한강공원,POI085,여유,100,200,52,27.8,57,0,5,8,14
2024-06-15 18:13,강서한강공원,POI085,여유,0,100,59,26.3,64,0,5,7,14
2024-06-15 19:14,강서한강공원,POI085,여유,0,100,59,25.1,69,0,1,12,18
2024-06-15 20:11,강서한강공원,POI085,여유,0,100,59,24.1,72,0,1,17,23
2024-06-15 21:21,강서한강공원,POI085,여유,0,100,58,23.5,74,0,0,18,24
2024-06-15 22:13,강서한강공원,POI085,여유,0,100,60,22.9,76,0,0,19,22
2024-06-15 23:11,강서한강공원,POI085,여유,0,100,62,22.2,82,0,0,19,27
2024-06-16 00:12,강서한강공원,POI085,여유,0,100,66,22.3,80,0,0,19,27
2024-06-16 01:15,강서한강공원,POI085,여유,0,100,67,21.5,85,0,0,13,23
2024-06-16 02:11,강서한강공원,POI085,여유,0,100,67,20.2,91,0,0,15,25
2024-06-16 03:16,강서한강공원,POI085,여유,0,100,67,20.6,88,0,0,14,23
2024-06-16 04:11,강서한강공원,POI085,여유,0,100,66,20.3,87,0,0,15,23
2024-06-16 05:13,강서한강공원,POI085,여유,0,100,67,20.2,84,0,0,13,24
2024-06-16 06:11,강서한강공원,POI085,여유,0,100,66,20.7,79,0,0,10,22
2024-06-16 07:12,강서한강공원,POI085,여유,0,100,65,21.8,72,0,2,12,24
2024-06-16 08:13,강서한강공원,POI085,여유,0,100,64,23.1,72,0,2,11,23
