시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,서울숲공원,POI101,보통,9500,10000,31,24.5,61,0,6,16,28
2024-06-08 17:14,서울숲공원,POI101,보통,10000,12000,30,23.9,60,0,6,18,22
2024-06-08 18:14,서울숲공원,POI101,보통,10000,12000,33,23.6,62,0,6,11,18
2024-06-08 19:13,서울숲공원,POI101,여유,8500,9000,38,22.6,66,0,1,12,19
2024-06-08 20:11,서울숲공원,POI101,여유,7500,8000,39,21.6,70,0,1,5,20
2024-06-08 21:20,서울숲공원,POI101,여유,7500,8000,38,20.7,75,0,0,9,17
2024-06-08 22:13,서울숲공원,POI101,여유,6000,6500,38,20.4,77,0,0,5,18
2024-06-08 23:12,서울숲공원,POI101,여유,5000,5500,41,20.4,76,0,0,10,17
2024-06-09 00:12,서울숲공원,POI101,여유,3500,4000,44,19.7,79,0,0,14,20
2024-06-09 01:16,서울숲공원,POI101,여유,2500,3000,46,19.3,88,0,0,11,19
2024-06-09 02:12,서울숲공원,POI101,여유,2000,2500,47,18.9,90,0,0,16,22
2024-06-09 03:15,서울숲공원,POI101,여유,2000,2500,48,19,87,0,0,15,27
2024-06-09 04:10,서울숲공원,POI101,여유,1500,2000,48,18.8,87,0,0,20,31
2024-06-09 05:12,서울숲공원,POI101,여유,1500,2000,48,18.2,90,0,0,14,26
2024-06-09 06:11,서울숲공원,POI101,여유,2000,2500,46,17.9,92,0,0,11,26
2024-06-09 07:11,서울숲공원,POI101,여유,3000,3500,45,19.6,84,0,2,15,26
2024-06-09 08:12,서울숲공원,POI101,여유,3500,4000,45,20.5,78,0,2,18,25
2024-06-09 09:58,서울숲공원,POI101,여유,6000,6500,40,23.9,55,0,6,15,23
2024-06-09 11:05,서울숲공원,POI101,여유,7500,8000,37,24.5,53,0,6,12,19
2024-06-09 12:14,서울숲공원,POI101,여유,7000,7500,39,25.6,51,0,6,12,25
2024-06-09 13:15,서울숲공원,POI101,여유,7500,8000,37,26.7,47,0,7,18,26
2024-06-09 14:12,서울숲공원,POI101,여유,8500,9000,34,27.5,44,0,7,20,33
2024-06-09 15:16,서울숲공원,POI101,보통,9500,10000,33,28.5,44,0,7,24,29
2024-06-09 16:12,서울숲공원,POI101,보통,10000,12000,33,27.9,45,0,6,22,32
2024-06-09 17:14,서울숲공원,POI101,여유,9500,10000,33,27,49,0,6,20,31
2024-06-09 18:13,서울숲공원,POI101,여유,8500,9000,36,26.5,51,0,6,26,35
2024-06-09 19:12,서울숲공원,POI101,여유,7000,7500,38,24.7,54,0,1,30,41
2024-06-09 20:10,서울숲공원,POI101,여유,7000,7500,40,23.1,63,0,1,21,37
2024-06-09 21:21,서울숲공원,POI101,여유,6500,7000,38,22.3,66,0,0,20,31
2024-06-09 22:13,서울숲공원,POI101,여유,5000,5500,39,21.8,69,0,0,16,29
2024-06-09 23:12,서울숲공원,POI101,여유,3500,4000,42,21.5,70,0,0,20,32
2024-06-10 00:12,서울숲공원,POI101,여유,2500,3000,45,21.2,72,0,0,22,35
2024-06-10 01:14,서울숲공원,POI101,여유,2000,2500,48,20.7,74,0,0,21,34
2024-06-10 02:12,서울숲공원,POI101,여유,1500,2000,49,20.1,79,0,0,25,33
2024-06-10 03:15,서울숲공원,POI101,여유,1500,2000,49,19.8,81,0,0,21,34
2024-06-10 04:11,서울숲공원,POI101,여유,1500,2000,48,19.3,83,0,0,21,39
2024-06-10 05:14,서울숲공원,POI101,여유,2000,2500,47,19.3,84,0,0,22,37
2024-06-10 06:12,서울숲공원,POI101,여유,3000,3500,43,20,80,0,0,24,38
2024-06-10 07:12,서울숲공원,POI101,여유,4500,5000,38,20.8,76,0,2,22,33
2024-06-10 08:12,서울숲공원,POI101,여유,5500,6000,32,22.3,70,0,2,23,35
2024-06-10 09:55,서울숲공원,POI101,여유,6500,7000,31,25.3,56,0,7,21,38
2024-06-10 11:02,서울숲공원,POI101,여유,6000,6500,34,26.4,49,0,7,24,36
2024-06-10 11:38,서울숲공원,POI101,여유,6000,6500,35,26.9,48,0,7,24,36
2024-06-10 12:14,서울숲공원,POI101,여유,6000,6500,38,28.1,49,0,7,20,37
2024-06-10 13:18,서울숲공원,POI101,여유,5500,6000,38,28.7,47,0,8,26,44
2024-06-10 14:13,서울숲공원,POI101,여유,6000,6500,36,29.9,43,0,8,28,48
2024-06-10 15:18,서울숲공원,POI101,여유,6500,7000,35,30.1,44,0,8,0,0
2024-06-10 16:13,서울숲공원,POI101,여유,7000,7500,30,29.6,47,0,5,17,29
2024-06-10 17:17,서울숲공원,POI101,여유,7000,7500,30,29.1,53,0,5,36,60
2024-06-10 18:15,서울숲공원,POI101,여유,6500,7000,30,28.2,55,0,5,36,64
2024-06-10 19:15,서울숲공원,POI101,여유,6000,6500,33,26.4,59,0,1,39,59
2024-06-10 20:12,서울숲공원,POI101,여유,5500,6000,38,24.8,68,0,1,35,52
2024-06-10 21:22,서울숲공원,POI101,여유,5000,5500,39,24.1,73,0,0,30,48
2024-06-10 22:16,서울숲공원,POI101,여유,4500,5000,39,23.3,77,0,0,26,50
2024-06-10 23:14,서울숲공원,POI101,여유,4000,4500,42,22.6,79,0,0,31,53
2024-06-11 00:14,서울숲공원,POI101,여유,2500,3000,44,22.9,76,0,0,31,53
2024-06-11 01:16,서울숲공원,POI101,여유,2000,2500,46,22.4,78,0,0,31,55
2024-06-11 02:11,서울숲공원,POI101,여유,2000,2500,46,21.9,80,0,0,35,64
2024-06-11 03:16,서울숲공원,POI101,여유,1500,2000,47,21.9,79,0,0,41,65
2024-06-11 04:11,서울숲공원,POI101,여유,1500,2000,47,21.5,81,0,0,48,72
2024-06-11 05:13,서울숲공원,POI101,여유,2000,2500,46,21.7,77,0,0,52,78
2024-06-11 06:13,서울숲공원,POI101,여유,3500,4000,42,21.7,78,0,0,49,68
2024-06-11 07:14,서울숲공원,POI101,여유,4500,5000,38,22.3,75,0,1,47,74
2024-06-11 08:12,서울숲공원,POI101,여유,5500,6000,34,22.9,72,0,1,49,85
2024-06-11 09:55,서울숲공원,POI101,여유,6500,7000,32,25.1,62,0,8,38,67
2024-06-11 10:59,서울숲공원,POI101,여유,6500,7000,31,26,56,0,8,40,61
2024-06-11 11:34,서울숲공원,POI101,여유,6500,7000,34,26.9,54,0,8,40,61
2024-06-11 12:15,서울숲공원,POI101,여유,6500,7000,37,28.4,50,0,8,38,60
2024-06-11 13:15,서울숲공원,POI101,여유,6500,7000,37,29.5,48,0,5,42,60
2024-06-11 14:14,서울숲공원,POI101,여유,6500,7000,35,30.2,48,0,5,41,62
2024-06-11 15:17,서울숲공원,POI101,여유,7000,7500,31,30.7,50,0,5,41,59
2024-06-11 16:13,서울숲공원,POI101,여유,7500,8000,29,30.3,40,0,5,41,59
2024-06-11 17:16,서울숲공원,POI101,여유,8000,8500,24,28.6,41,0,5,49,71
2024-06-11 18:15,서울숲공원,POI101,여유,7500,8000,27,27.7,45,0,5,41,76
