시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,고속터미널역,POI017,붐빔,30000,32000,19,24.3,72,0,6,11,25
2024-06-08 17:13,고속터미널역,POI017,붐빔,30000,32000,18,25,65,0,6,10,17
2024-06-08 18:13,고속터미널역,POI017,붐빔,28000,30000,20,24.4,68,0,6,9,17
2024-06-08 19:11,고속터미널역,POI017,약간 붐빔,24000,26000,23,23.2,72,0,1,8,16
2024-06-08 20:10,고속터미널역,POI017,약간 붐빔,20000,22000,24,21.5,77,0,1,6,13
2024-06-08 21:19,고속터미널역,POI017,여유,12000,14000,25,19.1,99,0,1,8,15
2024-06-08 22:11,고속터미널역,POI017,여유,9500,10000,27,18.6,100,0,0,8,15
2024-06-08 23:10,고속터미널역,POI017,여유,5500,6000,29,18.1,100,0,0,9,19
2024-06-09 00:11,고속터미널역,POI017,여유,2500,3000,32,17.6,100,0,0,8,20
2024-06-09 01:15,고속터미널역,POI017,여유,2000,2500,35,17.6,100,0,0,11,15
2024-06-09 02:10,고속터미널역,POI017,여유,1500,2000,36,17.7,100,0,0,19,24
2024-06-09 03:13,고속터미널역,POI017,여유,1500,2000,35,17.6,100,0,0,15,24
2024-06-09 04:09,고속터미널역,POI017,여유,1500,2000,35,16.9,100,0,0,15,27
2024-06-09 05:11,고속터미널역,POI017,여유,1500,2000,33,17.2,100,0,0,17,29
2024-06-09 06:10,고속터미널역,POI017,여유,2000,2500,32,17.1,100,0,0,16,25
2024-06-09 07:10,고속터미널역,POI017,여유,2500,3000,30,19.1,100,0,2,14,24
2024-06-09 08:11,고속터미널역,POI017,여유,3500,4000,29,21,92,0,2,14,30
2024-06-09 09:57,고속터미널역,POI017,여유,7500,8000,25,23.4,70,0,6,19,31
2024-06-09 11:04,고속터미널역,POI017,여유,12000,14000,24,25,55,0,6,13,30
2024-06-09 12:13,고속터미널역,POI017,약간 붐빔,20000,22000,22,26.3,54,0,6,17,32
2024-06-09 13:14,고속터미널역,POI017,약간 붐빔,24000,26000,22,27,51,0,7,16,35
2024-06-09 14:11,고속터미널역,POI017,붐빔,28000,30000,21,28.2,51,0,7,20,40
2024-06-09 15:15,고속터미널역,POI017,붐빔,28000,30000,19,29.7,49,0,7,24,39
2024-06-09 16:11,고속터미널역,POI017,붐빔,28000,30000,18,28.5,49,0,6,24,38
2024-06-09 17:13,고속터미널역,POI017,붐빔,28000,30000,19,27.9,50,0,6,20,37
2024-06-09 18:12,고속터미널역,POI017,붐빔,28000,30000,18,27,53,0,6,25,39
2024-06-09 19:11,고속터미널역,POI017,약간 붐빔,24000,26000,22,26.1,56,0,1,21,39
2024-06-09 20:09,고속터미널역,POI017,약간 붐빔,18000,20000,23,23.6,65,0,1,25,37
2024-06-09 21:20,고속터미널역,POI017,여유,12000,14000,25,21.7,75,0,0,18,32
2024-06-09 22:11,고속터미널역,POI017,여유,8000,8500,28,20.8,86,0,0,21,36
2024-06-09 23:10,고속터미널역,POI017,여유,4500,5000,31,20.2,89,0,0,25,36
2024-06-10 00:10,고속터미널역,POI017,여유,3000,3500,33,19.5,94,0,0,22,35
2024-06-10 01:13,고속터미널역,POI017,여유,2000,2500,34,19.1,97,0,0,25,35
2024-06-10 02:11,고속터미널역,POI017,여유,1500,2000,33,18.6,99,0,0,23,36
2024-06-10 03:14,고속터미널역,POI017,여유,1500,2000,35,18.2,100,0,0,24,42
2024-06-10 04:10,고속터미널역,POI017,여유,1500,2000,35,18.2,100,0,0,27,48
2024-06-10 05:12,고속터미널역,POI017,여유,1500,2000,36,17.8,100,0,0,29,38
2024-06-10 06:11,고속터미널역,POI017,여유,2000,2500,31,18.3,100,0,0,22,35
2024-06-10 07:11,고속터미널역,POI017,여유,4500,5000,25,21.2,89,0,2,22,42
2024-06-10 08:11,고속터미널역,POI017,여유,9000,9500,20,22.7,77,0,2,22,39
2024-06-10 09:54,고속터미널역,POI017,여유,12000,14000,21,26.2,53,0,7,26,50
2024-06-10 11:00,고속터미널역,POI017,여유,14000,16000,21,27.1,55,0,7,18,52
2024-06-10 11:37,고속터미널역,POI017,보통,16000,18000,21,28,55,0,7,18,52
2024-06-10 12:13,고속터미널역,POI017,약간 붐빔,18000,20000,22,27.9,53,0,7,20,52
2024-06-10 13:16,고속터미널역,POI017,약간 붐빔,20000,22000,23,30.6,50,0,8,25,61
2024-06-10 14:12,고속터미널역,POI017,약간 붐빔,20000,22000,20,31,46,0,8,24,60
2024-06-10 15:17,고속터미널역,POI017,약간 붐빔,20000,22000,20,32,47,0,8,26,75
2024-06-10 16:12,고속터미널역,POI017,약간 붐빔,20000,22000,16,29.9,53,0,5,30,80
2024-06-10 17:16,고속터미널역,POI017,약간 붐빔,20000,22000,18,29.3,55,0,5,28,87
2024-06-10 18:14,고속터미널역,POI017,약간 붐빔,20000,22000,16,28.2,58,0,5,30,76
2024-06-10 19:13,고속터미널역,POI017,약간 붐빔,20000,22000,19,24.9,67,0,1,31,65
2024-06-10 20:10,고속터미널역,POI017,여유,14000,16000,25,25.6,69,0,1,26,62
2024-06-10 21:21,고속터미널역,POI017,여유,8500,9000,25,23.6,85,0,0,30,60
2024-06-10 22:14,고속터미널역,POI017,여유,6000,6500,26,22.9,91,0,0,30,59
2024-06-10 23:13,고속터미널역,POI017,여유,4000,4500,30,22.5,94,0,0,29,54
2024-06-11 00:13,고속터미널역,POI017,여유,2500,3000,32,23.4,88,0,0,29,54
2024-06-11 01:14,고속터미널역,POI017,여유,1500,2000,34,22.8,89,0,0,34,59
