시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,고덕역,POI016,약간 붐빔,8500,9000,19,23,70,0,6,23,31
2024-06-08 17:13,고덕역,POI016,약간 붐빔,8500,9000,22,23.9,72,0,6,18,27
2024-06-08 18:13,고덕역,POI016,여유,6500,7000,22,24.4,57,0,6,14,18
2024-06-08 19:11,고덕역,POI016,여유,7000,7500,21,22.4,67,0,1,8,11
2024-06-08 20:10,고덕역,POI016,여유,6500,7000,23,20.6,77,0,1,10,12
2024-06-08 21:19,고덕역,POI016,여유,6000,6500,21,18.9,86,0,1,8,12
2024-06-08 22:11,고덕역,POI016,여유,6000,6500,22,18.6,90,0,0,9,17
2024-06-08 23:10,고덕역,POI016,여유,5000,5500,23,18.1,93,0,0,8,13
2024-06-09 00:11,고덕역,POI016,여유,5000,5500,25,17.5,95,0,0,11,20
2024-06-09 01:14,고덕역,POI016,여유,5500,6000,23,17.3,96,0,0,14,28
2024-06-09 02:10,고덕역,POI016,여유,5500,6000,25,16.8,97,0,0,14,24
2024-06-09 03:13,고덕역,POI016,여유,6000,6500,24,16.6,97,0,0,12,27
2024-06-09 04:09,고덕역,POI016,여유,5500,6000,27,16.5,97,0,0,12,25
2024-06-09 05:11,고덕역,POI016,여유,5500,6000,27,16.2,97,0,0,13,24
2024-06-09 06:10,고덕역,POI016,여유,5500,6000,24,16.7,98,0,0,14,15
2024-06-09 07:10,고덕역,POI016,여유,5500,6000,23,17.5,97,0,2,12,22
2024-06-09 08:11,고덕역,POI016,여유,6000,6500,23,19.6,86,0,2,13,25
2024-06-09 09:57,고덕역,POI016,여유,6000,6500,21,22.8,67,0,6,16,23
2024-06-09 11:04,고덕역,POI016,여유,7000,7500,19,24.8,49,0,6,11,23
2024-06-09 12:13,고덕역,POI016,보통,7500,8000,19,26,52,0,6,8,15
2024-06-09 13:14,고덕역,POI016,약간 붐빔,8500,9000,17,26.7,46,0,7,12,31
