시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,잠원한강공원,POI111,보통,2000,2500,28,24.5,61,0,6,21,30
2024-06-08 17:14,잠원한강공원,POI111,약간 붐빔,2500,3000,27,23.9,60,0,6,12,19
2024-06-08 18:14,잠원한강공원,POI111,약간 붐빔,2500,3000,28,23.6,62,0,6,12,14
2024-06-08 19:13,잠원한강공원,POI111,보통,2000,2500,34,22.6,66,0,1,10,15
2024-06-08 20:11,잠원한강공원,POI111,약간 붐빔,2500,3000,34,21.6,70,0,1,13,18
2024-06-08 21:20,잠원한강공원,POI111,보통,2000,2500,31,20.7,75,0,0,13,20
2024-06-08 22:13,잠원한강공원,POI111,약간 붐빔,2000,2500,31,20.4,77,0,0,16,19
2024-06-08 23:12,잠원한강공원,POI111,여유,1500,2000,35,20.4,76,0,0,11,17
2024-06-09 00:13,잠원한강공원,POI111,여유,1000,1500,38,19.7,79,0,0,12,18
2024-06-09 01:16,잠원한강공원,POI111,여유,1000,1500,40,19.3,88,0,0,11,18
2024-06-09 02:12,잠원한강공원,POI111,여유,900,1000,41,18.9,90,0,0,13,18
2024-06-09 03:15,잠원한강공원,POI111,여유,600,700,42,19,87,0,0,17,26
2024-06-09 04:11,잠원한강공원,POI111,여유,600,700,42,18.8,87,0,0,19,33
2024-06-09 05:12,잠원한강공원,POI111,여유,600,700,42,18.2,90,0,0,16,27
2024-06-09 06:11,잠원한강공원,POI111,여유,900,1000,41,17.9,92,0,0,16,27
2024-06-09 07:11,잠원한강공원,POI111,여유,1000,1500,39,19.6,84,0,2,16,26
2024-06-09 08:13,잠원한강공원,POI111,여유,1500,2000,39,20.5,78,0,2,15,27
2024-06-09 09:58,잠원한강공원,POI111,여유,2000,2500,35,23.9,55,0,6,16,24
2024-06-09 11:05,잠원한강공원,POI111,보통,2000,2500,31,24.5,53,0,6,13,21
2024-06-09 12:14,잠원한강공원,POI111,보통,2000,2500,33,25.6,51,0,6,16,24
2024-06-09 13:15,잠원한강공원,POI111,보통,2000,2500,33,26.7,47,0,7,15,25
2024-06-09 14:12,잠원한강공원,POI111,보통,2000,2500,31,27.5,44,0,7,22,28
2024-06-09 15:16,잠원한강공원,POI111,약간 붐빔,2500,3000,29,28.5,44,0,7,21,29
2024-06-09 16:12,잠원한강공원,POI111,약간 붐빔,2500,3000,28,27.9,45,0,6,25,32
2024-06-09 17:14,잠원한강공원,POI111,약간 붐빔,2500,3000,30,27,49,0,6,24,30
2024-06-09 18:13,잠원한강공원,POI111,약간 붐빔,2500,3000,32,26.5,51,0,6,27,31
2024-06-09 19:12,잠원한강공원,POI111,약간 붐빔,2500,3000,32,24.7,54,0,1,26,34
2024-06-09 20:10,잠원한강공원,POI111,약간 붐빔,2500,3000,32,23.1,63,0,1,25,39
2024-06-09 21:21,잠원한강공원,POI111,약간 붐빔,2500,3000,32,22.3,66,0,0,24,42
2024-06-09 22:13,잠원한강공원,POI111,여유,2000,2500,32,21.8,69,0,0,22,39
2024-06-09 23:12,잠원한강공원,POI111,여유,1000,1500,38,21.5,70,0,0,22,32
2024-06-10 00:12,잠원한강공원,POI111,여유,1000,1500,40,21.2,72,0,0,24,35
2024-06-10 01:14,잠원한강공원,POI111,여유,800,900,41,20.7,74,0,0,23,32
2024-06-10 02:12,잠원한강공원,POI111,여유,700,800,42,20.1,79,0,0,25,35
2024-06-10 03:15,잠원한강공원,POI111,여유,500,600,42,19.8,81,0,0,25,35
2024-06-10 04:11,잠원한강공원,POI111,여유,600,700,41,19.3,83,0,0,26,40
2024-06-10 05:14,잠원한강공원,POI111,여유,700,800,40,19.3,84,0,0,25,36
2024-06-10 06:13,잠원한강공원,POI111,여유,1000,1500,37,20,80,0,0,25,34
2024-06-10 07:12,잠원한강공원,POI111,여유,1500,2000,32,20.8,76,0,2,26,37
2024-06-10 08:13,잠원한강공원,POI111,여유,2000,2500,28,22.3,70,0,2,23,33
2024-06-10 09:55,잠원한강공원,POI111,여유,1500,2000,29,25.3,56,0,7,22,36
2024-06-10 11:02,잠원한강공원,POI111,여유,1500,2000,30,26.4,49,0,7,18,30
2024-06-10 11:38,잠원한강공원,POI111,여유,1500,2000,29,26.9,48,0,7,18,30
2024-06-10 12:14,잠원한강공원,POI111,여유,1500,2000,31,28.1,49,0,7,22,40
2024-06-10 13:18,잠원한강공원,POI111,여유,1500,2000,32,28.7,47,0,8,24,41
2024-06-10 14:13,잠원한강공원,POI111,여유,1000,1500,30,29.9,43,0,8,27,44
2024-06-10 15:18,잠원한강공원,POI111,여유,1500,2000,29,30.1,44,0,8,27,42
2024-06-10 16:13,잠원한강공원,POI111,여유,1500,2000,28,29.6,47,0,5,33,50
2024-06-10 17:18,잠원한강공원,POI111,여유,1500,2000,24,29.1,53,0,5,34,56
2024-06-10 18:15,잠원한강공원,POI111,여유,1500,2000,25,28.2,55,0,5,36,59
2024-06-10 19:15,잠원한강공원,POI111,여유,2000,2500,27,26.4,59,0,1,35,53
2024-06-10 20:12,잠원한강공원,POI111,여유,1500,2000,34,24.8,68,0,1,39,56
