시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,어린이대공원,POI104,여유,7000,7500,21,24.4,66,0,6,19,29
2024-06-08 17:14,어린이대공원,POI104,여유,7500,8000,22,25.6,56,0,6,17,26
2024-06-08 18:14,어린이대공원,POI104,여유,6500,7000,23,24.4,58,0,6,12,18
2024-06-08 19:13,어린이대공원,POI104,여유,6500,7000,24,23.7,62,0,1,8,15
2024-06-08 20:11,어린이대공원,POI104,여유,6000,6500,24,22.9,66,0,1,15,19
2024-06-08 21:20,어린이대공원,POI104,여유,5000,5500,21,22.3,68,0,0,12,20
2024-06-08 22:13,어린이대공원,POI104,여유,4500,5000,23,21.6,73,0,0,11,21
2024-06-08 23:12,어린이대공원,POI104,여유,4000,4500,24,20.9,76,0,0,11,20
2024-06-09 00:13,어린이대공원,POI104,여유,3500,4000,25,20.9,74,0,0,12,21
2024-06-09 01:16,어린이대공원,POI104,여유,3500,4000,25,20.2,78,0,0,13,24
2024-06-09 02:12,어린이대공원,POI104,여유,3500,4000,26,19.4,86,0,0,16,26
2024-06-09 03:15,어린이대공원,POI104,여유,3000,3500,26,19.1,88,0,0,14,26
2024-06-09 04:10,어린이대공원,POI104,여유,3000,3500,27,18.9,89,0,0,16,27
2024-06-09 05:12,어린이대공원,POI104,여유,3000,3500,26,18.2,91,0,0,15,28
2024-06-09 06:11,어린이대공원,POI104,여유,3500,4000,25,18.2,92,0,0,13,29
2024-06-09 07:11,어린이대공원,POI104,여유,3500,4000,28,19.2,88,0,2,14,25
2024-06-09 08:12,어린이대공원,POI104,여유,3500,4000,27,20.9,79,0,2,14,22
2024-06-09 09:58,어린이대공원,POI104,여유,4500,5000,25,23.7,63,0,6,15,25
2024-06-09 11:05,어린이대공원,POI104,여유,6000,6500,23,25.9,51,0,6,11,22
2024-06-09 12:14,어린이대공원,POI104,여유,6500,7000,20,27.2,48,0,6,14,24
2024-06-09 13:15,어린이대공원,POI104,여유,7000,7500,20,27.5,47,0,7,17,26
