시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,역삼역,POI042,여유,12000,14000,18,24.9,60,0,6,21,30
2024-06-08 17:13,역삼역,POI042,여유,10000,12000,18,24.5,60,0,6,12,19
2024-06-08 18:13,역삼역,POI042,여유,10000,12000,18,24.6,60,0,6,12,14
2024-06-08 19:12,역삼역,POI042,여유,10000,12000,20,23.1,65,0,1,10,15
2024-06-08 20:10,역삼역,POI042,여유,9500,10000,21,21.7,71,0,1,13,18
2024-06-08 21:19,역삼역,POI042,여유,8500,9000,22,20,80,0,1,13,20
2024-06-08 22:12,역삼역,POI042,여유,8000,8500,22,19.9,79,0,0,16,19
2024-06-08 23:11,역삼역,POI042,여유,7000,7500,21,18.8,87,0,0,11,17
2024-06-09 00:12,역삼역,POI042,여유,6500,7000,24,18,89,0,0,12,18
2024-06-09 01:15,역삼역,POI042,여유,6000,6500,25,17.9,88,0,0,11,18
2024-06-09 02:11,역삼역,POI042,여유,6000,6500,25,17.3,90,0,0,13,18
2024-06-09 03:14,역삼역,POI042,여유,5500,6000,26,17.1,92,0,0,17,26
2024-06-09 04:09,역삼역,POI042,여유,5500,6000,26,16.8,93,0,0,19,33
2024-06-09 05:11,역삼역,POI042,여유,5500,6000,26,16.6,94,0,0,16,27
2024-06-09 06:10,역삼역,POI042,여유,5500,6000,23,16.6,94,0,0,16,27
2024-06-09 07:10,역삼역,POI042,여유,5500,6000,24,19.5,84,0,2,16,26
2024-06-09 08:12,역삼역,POI042,여유,6000,6500,23,21.4,74,0,2,15,27
2024-06-09 09:57,역삼역,POI042,여유,7500,8000,23,23.5,61,0,6,16,24
2024-06-09 11:04,역삼역,POI042,여유,8500,9000,22,25.7,55,0,6,13,21
2024-06-09 12:13,역삼역,POI042,여유,9500,10000,21,27.3,51,0,6,16,24
2024-06-09 13:14,역삼역,POI042,여유,10000,12000,21,26.4,51,0,7,15,25
2024-06-09 14:11,역삼역,POI042,여유,10000,12000,20,27.9,48,0,7,22,28
2024-06-09 15:15,역삼역,POI042,여유,9500,10000,21,28.8,48,0,7,21,29
2024-06-09 16:11,역삼역,POI042,여유,9500,10000,20,28.4,45,0,6,25,32
2024-06-09 17:13,역삼역,POI042,여유,9000,9500,21,28.1,46,0,6,24,30
2024-06-09 18:12,역삼역,POI042,여유,9000,9500,22,26.4,49,0,6,27,31
2024-06-09 19:11,역삼역,POI042,여유,8500,9000,22,24.9,55,0,1,26,34
2024-06-09 20:09,역삼역,POI042,여유,8000,8500,24,23.8,60,0,1,25,39
2024-06-09 21:20,역삼역,POI042,여유,7500,8000,24,22.7,65,0,0,24,42
