시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,역삼역,POI042,여유,12000,14000,18,24.9,60,0,6,21,30
2024-06-08 17:13,역삼역,POI042,여유,10000,12000,18,24.5,60,0,6,12,19
2024-06-08 18:13,역삼역,POI042,여유,10000,12000,18,24.6,60,0,6,12,14
2024-06-08 19:12,역삼역,POI042,여유,10000,12000,20,23.1,65,0,1,10,15
2024-06-08 20:10,역삼역,POI042,여유,9500,10000,21,21.7,71,0,1,13,18
2024-06-08 21:19,역삼역,POI042,여유,8500,9000,22,20,80,0,1,13,20
2024-06-08 22:12,역삼역,POI042,여유,8000,8500,22,19.9,79,0,0,16,19
2024-06-08 23:11,역삼역,POI042,여유,7000,7500,21,18.8,87,0,0,11,17
2024-06-09 00:12,역삼역,POI042,여유,6500,7000,24,18,89,0,0,12,18
2024-06-09 01:15,역삼역,POI042,여유,6000,6500,25,17.9,88,0,0,11,18
2024-06-09 02:11,역삼역,POI042,여유,6000,6500,25,17.3,90,0,0,13,18
2024-06-09 03:14,역삼역,POI042,여유,5500,6000,26,17.1,92,0,0,17,26
2024-06-09 04:09,역삼역,POI042,여유,5500,6000,26,16.8,93,0,0,19,33
2024-06-09 05:11,역삼역,POI042,여유,5500,6000,26,16.6,94,0,0,16,27
2024-06-09 06:10,역삼역,POI042,여유,5500,6000,23,16.6,94,0,0,16,27
2024-06-09 07:10,역삼역,POI042,여유,5500,6000,24,19.5,84,0,2,16,26
2024-06-09 08:12,역삼역,POI042,여유,6000,6500,23,21.4,74,0,2,15,27
2024-06-09 09:57,역삼역,POI042,여유,7500,8000,23,23.5,61,0,6,16,24
2024-06-09 11:04,역삼역,POI042,여유,8500,9000,22,25.7,55,0,6,13,21
2024-06-09 12:13,역삼역,POI042,여유,9500,10000,21,27.3,51,0,6,16,24
2024-06-09 13:14,역삼역,POI042,여유,10000,12000,21,26.4,51,0,7,15,25
2024-06-09 14:11,역삼역,POI042,여유,10000,12000,20,27.9,48,0,7,22,28
2024-06-09 15:15,역삼역,POI042,여유,9500,10000,21,28.8,48,0,7,21,29
2024-06-09 16:11,역삼역,POI042,여유,9500,10000,20,28.4,45,0,6,25,32
2024-06-09 17:13,역삼역,POI042,여유,9000,9500,21,28.1,46,0,6,24,30
2024-06-09 18:12,역삼역,POI042,여유,9000,9500,22,26.4,49,0,6,27,31
2024-06-09 19:11,역삼역,POI042,여유,8500,9000,22,24.9,55,0,1,26,34
2024-06-09 20:09,역삼역,POI042,여유,8000,8500,24,23.8,60,0,1,25,39
2024-06-09 21:20,역삼역,POI042,여유,7500,8000,24,22.7,65,0,0,24,42
2024-06-09 22:12,역삼역,POI042,여유,7000,7500,24,22.6,64,0,0,22,39
2024-06-09 23:11,역삼역,POI042,여유,6000,6500,24,21.7,68,0,0,22,32
2024-06-10 00:11,역삼역,POI042,여유,6000,6500,25,19.8,77,0,0,24,35
2024-06-10 01:13,역삼역,POI042,여유,5500,6000,26,19.8,76,0,0,23,32
2024-06-10 02:11,역삼역,POI042,여유,5500,6000,26,19.1,81,0,0,25,35
2024-06-10 03:14,역삼역,POI042,여유,5500,6000,25,18.3,85,0,0,25,35
2024-06-10 04:10,역삼역,POI042,여유,5500,6000,26,17.9,89,0,0,26,40
2024-06-10 05:13,역삼역,POI042,여유,5500,6000,26,18.3,88,0,0,25,36
2024-06-10 06:11,역삼역,POI042,여유,6000,6500,25,18.4,87,0,0,25,34
2024-06-10 07:11,역삼역,POI042,여유,8000,8500,24,20.2,80,0,2,26,37
2024-06-10 08:11,역삼역,POI042,여유,14000,16000,21,22.5,71,0,2,23,33
2024-06-10 09:54,역삼역,POI042,약간 붐빔,34000,36000,20,26.6,51,0,7,22,36
2024-06-10 11:01,역삼역,POI042,약간 붐빔,38000,40000,19,27.4,49,0,7,18,30
2024-06-10 11:37,역삼역,POI042,약간 붐빔,38000,40000,18,27.3,50,0,7,18,30
2024-06-10 12:13,역삼역,POI042,약간 붐빔,40000,42000,19,27.7,50,0,7,22,40
2024-06-10 13:17,역삼역,POI042,약간 붐빔,42000,44000,19,30,45,0,8,24,41
2024-06-10 14:12,역삼역,POI042,약간 붐빔,40000,42000,18,30.2,42,0,8,27,44
2024-06-10 15:17,역삼역,POI042,약간 붐빔,38000,40000,18,31.1,43,0,8,27,42
2024-06-10 16:12,역삼역,POI042,약간 붐빔,38000,40000,18,30.3,50,0,5,33,50
2024-06-10 17:16,역삼역,POI042,약간 붐빔,36000,38000,17,29.6,52,0,5,34,56
2024-06-10 18:14,역삼역,POI042,약간 붐빔,34000,36000,16,28.3,55,0,5,36,59
2024-06-10 19:14,역삼역,POI042,보통,26000,28000,18,27,58,0,1,35,53
2024-06-10 20:11,역삼역,POI042,여유,20000,22000,21,25.6,65,0,1,39,56
2024-06-10 21:21,역삼역,POI042,여유,16000,18000,22,24.5,71,0,0,39,56
2024-06-10 22:15,역삼역,POI042,여유,12000,14000,22,23.7,74,0,0,35,54
2024-06-10 23:13,역삼역,POI042,여유,10000,12000,24,23.1,77,0,0,36,52
2024-06-11 00:13,역삼역,POI042,여유,9000,9500,24,23.1,76,0,0,36,52
2024-06-11 01:15,역삼역,POI042,여유,8000,8500,24,22.4,78,0,0,36,56
2024-06-11 02:10,역삼역,POI042,여유,7500,8000,26,21.9,81,0,0,48,68
2024-06-11 03:15,역삼역,POI042,여유,6500,7000,25,21.8,80,0,0,46,67
2024-06-11 04:10,역삼역,POI042,여유,6500,7000,24,21.2,84,0,0,56,82
2024-06-11 05:12,역삼역,POI042,여유,6000,6500,25,21.8,80,0,0,56,82
2024-06-11 06:12,역삼역,POI042,여유,6500,7000,23,22.2,77,0,0,60,85
2024-06-11 07:13,역삼역,POI042,여유,8000,8500,21,22.7,74,0,1,59,80
2024-06-11 08:11,역삼역,POI042,여유,14000,16000,20,23,71,0,1,60,81
2024-06-11 09:53,역삼역,POI042,약간 붐빔,30000,32000,19,25.4,60,0,8,44,66
2024-06-11 10:58,역삼역,POI042,약간 붐빔,36000,38000,18,27,55,0,8,41,59
2024-06-11 11:33,역삼역,POI042,약간 붐빔,36000,38000,18,27.5,54,0,8,41,59
2024-06-11 12:14,역삼역,POI042,약간 붐빔,40000,42000,17,28.8,48,0,8,42,56
2024-06-11 13:14,역삼역,POI042,약간 붐빔,40000,42000,17,30.8,50,0,5,43,57
2024-06-11 14:13,역삼역,POI042,붐빔,40000,42000,17,30.7,50,0,5,43,62
2024-06-11 15:16,역삼역,POI042,약간 붐빔,38000,40000,17,31.4,46,0,5,46,63
2024-06-11 16:12,역삼역,POI042,약간 붐빔,38000,40000,16,31.4,42,0,5,46,63
2024-06-11 17:15,역삼역,POI042,약간 붐빔,36000,38000,16,28.8,41,0,5,51,71
2024-06-11 18:14,역삼역,POI042,약간 붐빔,34000,36000,16,28.4,44,0,5,42,64
2024-06-11 19:13,역삼역,POI042,보통,26000,28000,15,26.4,50,0,1,23,54
2024-06-11 20:11,역삼역,POI042,여유,20000,22000,20,25.1,54,0,1,18,44
2024-06-11 21:22,역삼역,POI042,여유,16000,18000,20,24,55,0,0,21,48
2024-06-11 22:14,역삼역,POI042,여유,12000,14000,21,22.9,62,0,0,18,38
2024-06-11 23:11,역삼역,POI042,여유,10000,12000,21,21.3,69,0,0,15,30
2024-06-12 00:12,역삼역,POI042,여유,9000,9500,23,20.5,72,0,0,15,30
2024-06-12 01:15,역삼역,POI042,여유,8000,8500,24,19.4,76,0,0,13,0
2024-06-12 02:12,역삼역,POI042,여유,7500,8000,24,18.4,80,0,0,13,23
2024-06-12 03:16,역삼역,POI042,여유,7000,7500,24,17.8,82,0,0,11,21
2024-06-12 04:10,역삼역,POI042,여유,6500,7000,25,17.8,79,0,0,12,20
2024-06-12 05:12,역삼역,POI042,여유,6500,7000,25,17.3,82,0,0,12,21
2024-06-12 07:11,역삼역,POI042,여유,8000,8500,21,21.2,75,0,1,10,19
2024-06-12 08:11,역삼역,POI042,여유,14000,16000,20,23.4,64,0,1,15,27
2024-06-12 09:54,역삼역,POI042,약간 붐빔,32000,34000,17,26.1,51,0,7,17,28
2024-06-12 10:58,역삼역,POI042,약간 붐빔,36000,38000,17,27.9,44,0,7,13,24
2024-06-12 11:34,역삼역,POI042,붐빔,38000,40000,18,29.2,42,0,7,13,24
2024-06-12 12:13,역삼역,POI042,약간 붐빔,40000,42000,18,29.8,36,0,7,14,27
2024-06-12 13:14,역삼역,POI042,붐빔,42000,44000,18,31.1,36,0,9,16,26
2024-06-12 14:13,역삼역,POI042,붐빔,40000,42000,17,31.8,35,0,9,19,29
2024-06-12 15:16,역삼역,POI042,붐빔,38000,40000,17,31.6,40,0,9,19,29
2024-06-12 16:11,역삼역,POI042,붐빔,38000,40000,16,29.7,45,0,5,23,37
2024-06-12 17:15,역삼역,POI042,붐빔,36000,38000,15,28.9,42,0,5,35,51
2024-06-12 18:13,역삼역,POI042,붐빔,34000,36000,15,28,44,0,5,35,54
2024-06-12 19:13,역삼역,POI042,보통,26000,28000,15,25.4,51,0,1,26,42
2024-06-12 20:10,역삼역,POI042,여유,20000,22000,19,23.9,56,0,1,26,41
2024-06-12 21:22,역삼역,POI042,여유,16000,18000,19,23.9,57,0,0,21,35
2024-06-12 22:14,역삼역,POI042,여유,14000,16000,19,23.8,59,0,0,19,30
2024-06-12 23:11,역삼역,POI042,여유,10000,12000,22,22,65,0,0,17,30
2024-06-13 00:11,역삼역,POI042,여유,9500,10000,23,21.4,66,0,0,17,30
2024-06-13 01:15,역삼역,POI042,여유,8000,8500,23,20.9,67,0,0,15,25
2024-06-13 02:10,역삼역,POI042,여유,7500,8000,23,20.2,72,0,0,15,27
2024-06-13 03:16,역삼역,POI042,여유,7000,7500,24,19.2,75,0,0,14,22
2024-06-13 04:10,역삼역,POI042,여유,6500,7000,25,19.2,74,0,0,18,27
2024-06-13 05:12,역삼역,POI042,여유,6500,7000,26,18.8,78,0,0,16,26
2024-06-13 06:11,역삼역,POI042,여유,6500,7000,25,19.1,76,0,0,17,31
2024-06-13 07:11,역삼역,POI042,여유,8500,9000,22,21.2,70,0,2,17,26
2024-06-13 08:12,역삼역,POI042,여유,14000,16000,20,24.3,62,0,2,18,31
2024-06-13 09:53,역삼역,POI042,약간 붐빔,32000,34000,18,27.8,51,0,7,18,33
2024-06-13 10:58,역삼역,POI042,약간 붐빔,36000,38000,17,29.4,42,0,7,17,32
