시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:11,삼각지역,POI030,여유,2000,2500,18,24.5,61,0,6,17,32
2024-06-08 17:13,삼각지역,POI030,여유,2000,2500,19,23.9,60,0,6,12,24
2024-06-08 18:13,삼각지역,POI030,여유,2000,2500,21,23.6,62,0,6,18,19
2024-06-08 19:12,삼각지역,POI030,여유,2000,2500,23,22.6,66,0,1,7,15
2024-06-08 20:10,삼각지역,POI030,여유,2000,2500,26,21.6,70,0,1,12,19
2024-06-08 21:19,삼각지역,POI030,여유,1500,2000,25,21.1,73,0,1,8,0
2024-06-08 22:11,삼각지역,POI030,여유,1500,2000,29,20.4,77,0,0,9,24
2024-06-08 23:11,삼각지역,POI030,여유,1500,2000,29,20.4,76,0,0,11,20
2024-06-09 00:11,삼각지역,POI030,여유,1000,1500,33,19.7,79,0,0,13,19
2024-06-09 01:15,삼각지역,POI030,여유,1000,1500,34,19.3,88,0,0,11,22
2024-06-09 02:10,삼각지역,POI030,여유,1000,1500,33,18.9,90,0,0,13,24
2024-06-09 03:14,삼각지역,POI030,여유,1000,1500,35,19,87,0,0,14,27
2024-06-09 04:09,삼각지역,POI030,여유,1000,1500,36,18.9,87,0,0,16,26
2024-06-09 05:11,삼각지역,POI030,여유,1000,1500,36,18.2,90,0,0,12,26
2024-06-09 06:10,삼각지역,POI030,여유,1000,1500,32,17.9,92,0,0,15,24
2024-06-09 07:10,삼각지역,POI030,여유,1000,1500,33,19.6,84,0,2,12,23
2024-06-09 08:11,삼각지역,POI030,여유,1000,1500,31,20.5,78,0,2,17,31
2024-06-09 09:57,삼각지역,POI030,여유,1500,2000,29,23.9,55,0,6,17,36
2024-06-09 11:04,삼각지역,POI030,여유,1500,2000,25,24.5,53,0,6,14,28
2024-06-09 12:13,삼각지역,POI030,여유,2000,2500,26,25.6,51,0,6,9,23
2024-06-09 13:14,삼각지역,POI030,여유,2000,2500,24,26.7,47,0,7,13,26
2024-06-09 14:11,삼각지역,POI030,여유,2000,2500,22,27.5,44,0,7,17,30
2024-06-09 15:15,삼각지역,POI030,여유,2000,2500,21,28.5,44,0,7,23,36
2024-06-09 16:11,삼각지역,POI030,여유,2000,2500,21,27.9,45,0,6,28,39
2024-06-09 17:13,삼각지역,POI030,여유,2000,2500,22,27,49,0,6,24,39
2024-06-09 18:12,삼각지역,POI030,여유,1500,2000,22,26.5,51,0,6,26,39
2024-06-09 19:11,삼각지역,POI030,여유,1500,2000,26,25.7,52,0,1,23,39
2024-06-09 20:09,삼각지역,POI030,여유,1500,2000,26,23.3,62,0,1,26,36
2024-06-09 21:20,삼각지역,POI030,여유,1500,2000,28,22.3,66,0,0,16,30
2024-06-09 22:11,삼각지역,POI030,여유,1500,2000,31,21.8,69,0,0,20,32
2024-06-09 23:10,삼각지역,POI030,여유,1500,2000,33,21.5,70,0,0,20,34
2024-06-10 00:11,삼각지역,POI030,여유,1000,1500,35,21.2,72,0,0,20,36
2024-06-10 01:13,삼각지역,POI030,여유,1000,1500,37,20.7,74,0,0,19,35
2024-06-10 02:11,삼각지역,POI030,여유,1000,1500,37,20.1,79,0,0,18,34
2024-06-10 03:14,삼각지역,POI030,여유,1000,1500,38,19.8,81,0,0,20,35
