시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:13,불광천,POI097,여유,38000,40000,18,23.1,73,0,6,25,28
2024-06-08 17:14,불광천,POI097,여유,40000,42000,18,23.1,66,0,6,17,23
2024-06-08 18:14,불광천,POI097,여유,34000,36000,19,22.1,68,0,6,15,26
2024-06-08 19:13,불광천,POI097,여유,42000,44000,20,21.3,70,0,1,13,13
2024-06-08 20:11,불광천,POI097,여유,42000,44000,21,19.5,85,0,1,11,21
2024-06-08 21:20,불광천,POI097,여유,44000,46000,21,18.6,88,0,0,17,21
2024-06-08 22:12,불광천,POI097,여유,44000,46000,22,18.1,91,0,0,15,19
2024-06-08 23:12,불광천,POI097,여유,46000,48000,22,17.8,93,0,0,14,18
2024-06-09 00:12,불광천,POI097,여유,46000,48000,23,17.6,94,0,0,10,15
2024-06-09 01:16,불광천,POI097,여유,46000,48000,24,17.2,95,0,0,14,19
2024-06-09 02:12,불광천,POI097,여유,46000,48000,24,16.8,95,0,0,11,21
