시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,이태원역,POI047,보통,4000,4500,17,24.5,61,0,6,17,32
2024-06-08 17:13,이태원역,POI047,약간 붐빔,5000,5500,14,23.9,60,0,6,12,24
2024-06-08 18:13,이태원역,POI047,약간 붐빔,5500,6000,14,23.6,62,0,6,18,19
2024-06-08 19:12,이태원역,POI047,약간 붐빔,5500,6000,16,22.6,66,0,1,7,15
2024-06-08 20:10,이태원역,POI047,약간 붐빔,6000,6500,18,21.6,70,0,1,12,19
2024-06-08 21:19,이태원역,POI047,약간 붐빔,7500,8000,18,21.1,73,0,1,8,0
2024-06-08 22:12,이태원역,POI047,약간 붐빔,8000,8500,17,20.4,77,0,0,9,24
2024-06-08 23:11,이태원역,POI047,약간 붐빔,8500,9000,19,20.4,76,0,0,11,20
2024-06-09 00:12,이태원역,POI047,약간 붐빔,9000,9500,16,19.7,79,0,0,13,19
2024-06-09 01:15,이태원역,POI047,약간 붐빔,9000,9500,18,19.3,88,0,0,11,22
2024-06-09 02:11,이태원역,POI047,약간 붐빔,8500,9000,16,18.9,90,0,0,13,24
2024-06-09 03:14,이태원역,POI047,약간 붐빔,8000,8500,16,19,87,0,0,14,27
2024-06-09 04:10,이태원역,POI047,약간 붐빔,6500,7000,13,18.9,87,0,0,16,26
2024-06-09 05:11,이태원역,POI047,약간 붐빔,5500,6000,17,18.2,90,0,0,12,26
2024-06-09 06:10,이태원역,POI047,여유,3500,4000,17,17.9,92,0,0,15,24
2024-06-09 07:10,이태원역,POI047,여유,2000,2500,17,19.6,84,0,2,12,23
2024-06-09 08:12,이태원역,POI047,여유,2000,2500,17,20.5,78,0,2,17,31
2024-06-09 09:57,이태원역,POI047,여유,1500,2000,22,23.9,55,0,6,17,36
2024-06-09 11:04,이태원역,POI047,여유,2000,2500,19,24.5,53,0,6,14,28
2024-06-09 12:13,이태원역,POI047,여유,3000,3500,18,25.6,51,0,6,9,23
2024-06-09 13:14,이태원역,POI047,여유,3000,3500,16,26.7,47,0,7,13,26
2024-06-09 14:11,이태원역,POI047,여유,4000,4500,15,27.5,44,0,7,17,30
2024-06-09 15:15,이태원역,POI047,여유,4000,4500,15,28.5,44,0,7,23,36
2024-06-09 16:11,이태원역,POI047,여유,3500,4000,16,27.9,45,0,6,28,39
2024-06-09 17:13,이태원역,POI047,여유,4000,4500,16,27,49,0,6,24,39
2024-06-09 18:13,이태원역,POI047,여유,4000,4500,17,26.5,51,0,6,26,39
2024-06-09 19:11,이태원역,POI047,보통,4000,4500,17,24.7,54,0,1,23,39
2024-06-09 20:09,이태원역,POI047,여유,4000,4500,19,23.3,62,0,1,26,36
2024-06-09 21:20,이태원역,POI047,여유,4000,4500,22,22.3,66,0,0,16,30
2024-06-09 22:12,이태원역,POI047,여유,4000,4500,23,21.8,69,0,0,20,32
2024-06-09 23:11,이태원역,POI047,여유,3000,3500,22,21.5,70,0,0,20,34
2024-06-10 00:11,이태원역,POI047,여유,3000,3500,20,21.2,72,0,0,20,36
2024-06-10 01:13,이태원역,POI047,여유,2500,3000,22,20.7,74,0,0,19,35
2024-06-10 02:11,이태원역,POI047,여유,2500,3000,22,20.1,79,0,0,18,34
2024-06-10 03:14,이태원역,POI047,여유,2000,2500,19,19.8,81,0,0,20,35
2024-06-10 04:10,이태원역,POI047,여유,2000,2500,22,19.3,83,0,0,24,36
2024-06-10 05:13,이태원역,POI047,여유,1500,2000,21,19.3,84,0,0,19,34
2024-06-10 06:12,이태원역,POI047,여유,1500,2000,20,20,80,0,0,20,32
2024-06-10 07:11,이태원역,POI047,여유,1500,2000,20,20.8,76,0,2,19,35
2024-06-10 08:12,이태원역,POI047,여유,2000,2500,20,22.3,70,0,2,28,40
2024-06-10 09:54,이태원역,POI047,여유,2500,3000,19,25.3,56,0,7,31,46
2024-06-10 11:01,이태원역,POI047,여유,2500,3000,16,26.4,49,0,7,26,43
2024-06-10 11:37,이태원역,POI047,여유,2500,3000,17,26.9,48,0,7,26,43
2024-06-10 12:13,이태원역,POI047,여유,3500,4000,16,28.1,49,0,7,20,40
2024-06-10 13:17,이태원역,POI047,여유,3000,3500,17,28.7,47,0,8,0,0
2024-06-10 14:12,이태원역,POI047,여유,3500,4000,16,29.9,43,0,8,0,0
2024-06-10 15:17,이태원역,POI047,여유,3000,3500,16,30.1,44,0,8,29,53
2024-06-10 16:12,이태원역,POI047,여유,3000,3500,16,29.6,47,0,5,33,63
2024-06-10 17:16,이태원역,POI047,여유,3500,4000,17,29.1,53,0,5,36,66
2024-06-10 18:14,이태원역,POI047,여유,3500,4000,17,28.2,55,0,5,42,66
2024-06-10 19:14,이태원역,POI047,여유,3500,4000,18,26.4,59,0,1,35,64
2024-06-10 20:11,이태원역,POI047,여유,3000,3500,21,24.8,68,0,1,30,56
2024-06-10 21:21,이태원역,POI047,여유,3000,3500,21,24.1,73,0,0,32,53
2024-06-10 22:15,이태원역,POI047,여유,2500,3000,21,23.3,77,0,0,37,53
2024-06-10 23:13,이태원역,POI047,여유,2000,2500,22,22.6,79,0,0,33,57
2024-06-11 00:14,이태원역,POI047,여유,2000,2500,23,22.9,76,0,0,33,57
2024-06-11 01:15,이태원역,POI047,여유,2000,2500,23,22.4,78,0,0,34,54
2024-06-11 02:10,이태원역,POI047,여유,1500,2000,21,22,80,0,0,41,61
2024-06-11 03:15,이태원역,POI047,여유,1500,2000,22,21.9,79,0,0,42,67
2024-06-11 04:10,이태원역,POI047,여유,1500,2000,23,21.5,81,0,0,46,67
2024-06-11 05:12,이태원역,POI047,여유,1500,2000,24,21.7,77,0,0,44,68
2024-06-11 06:12,이태원역,POI047,여유,1500,2000,22,21.7,78,0,0,45,64
2024-06-11 07:13,이태원역,POI047,여유,1500,2000,21,22.3,75,0,1,47,72
2024-06-11 08:11,이태원역,POI047,여유,2000,2500,22,22.9,72,0,1,56,81
2024-06-11 09:54,이태원역,POI047,여유,2000,2500,18,25.1,62,0,8,53,82
2024-06-11 10:59,이태원역,POI047,여유,2500,3000,16,26,56,0,8,53,89
2024-06-11 11:33,이태원역,POI047,여유,2500,3000,16,26.9,54,0,8,53,89
2024-06-11 12:14,이태원역,POI047,여유,3000,3500,16,28.4,50,0,8,57,79
2024-06-11 13:14,이태원역,POI047,여유,3500,4000,17,29.5,48,0,5,46,77
2024-06-11 14:13,이태원역,POI047,여유,3000,3500,16,30.2,48,0,5,42,70
2024-06-11 15:16,이태원역,POI047,여유,3000,3500,15,30.7,50,0,5,48,76
2024-06-11 16:12,이태원역,POI047,여유,3000,3500,16,30.3,40,0,5,48,76
2024-06-11 17:15,이태원역,POI047,여유,3500,4000,17,28.6,41,0,5,56,83
2024-06-11 18:14,이태원역,POI047,여유,3500,4000,15,27.7,45,0,5,38,70
2024-06-11 19:13,이태원역,POI047,여유,3500,4000,16,26.6,45,0,1,22,60
2024-06-11 20:11,이태원역,POI047,여유,3500,4000,19,24.5,56,0,1,13,50
2024-06-11 21:22,이태원역,POI047,여유,3500,4000,20,23.5,59,0,0,13,41
2024-06-11 22:15,이태원역,POI047,여유,3000,3500,20,23.3,63,0,0,14,39
2024-06-11 23:11,이태원역,POI047,여유,3000,3500,21,21.9,69,0,0,14,38
2024-06-12 00:12,이태원역,POI047,여유,2500,3000,20,21.7,70,0,0,14,38
2024-06-12 01:15,이태원역,POI047,여유,2000,2500,20,21.8,70,0,0,11,27
2024-06-12 02:12,이태원역,POI047,여유,1500,2000,20,21.1,71,0,0,9,25
2024-06-12 03:16,이태원역,POI047,여유,1500,2000,21,19.7,76,0,0,9,25
2024-06-12 04:10,이태원역,POI047,여유,1500,2000,23,19.9,78,0,0,8,23
