시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,오목교역·목동운동장,POI044,보통,50000,52000,25,24.1,60,0,6,18,0
2024-06-08 17:13,오목교역·목동운동장,POI044,보통,48000,50000,25,24.6,57,0,6,9,0
2024-06-08 18:13,오목교역·목동운동장,POI044,여유,40000,42000,26,24.5,56,0,6,11,0
2024-06-08 19:12,오목교역·목동운동장,POI044,여유,42000,44000,28,23,62,0,1,8,9
2024-06-08 20:10,오목교역·목동운동장,POI044,여유,40000,42000,28,22.3,63,0,1,6,13
2024-06-08 21:19,오목교역·목동운동장,POI044,여유,40000,42000,29,21.7,64,0,1,9,15
2024-06-08 22:12,오목교역·목동운동장,POI044,여유,38000,40000,29,21.4,64,0,0,10,15
2024-06-08 23:11,오목교역·목동운동장,POI044,여유,36000,38000,30,21,77,0,0,8,12
2024-06-09 00:12,오목교역·목동운동장,POI044,여유,32000,34000,32,19.8,86,0,0,13,27
2024-06-09 01:15,오목교역·목동운동장,POI044,여유,30000,32000,34,19.4,85,0,0,19,29
2024-06-09 02:11,오목교역·목동운동장,POI044,여유,28000,30000,33,19.4,86,0,0,15,21
2024-06-09 03:14,오목교역·목동운동장,POI044,여유,32000,34000,33,19.1,87,0,0,11,10
2024-06-09 04:10,오목교역·목동운동장,POI044,여유,32000,34000,34,18.6,88,0,0,12,16
2024-06-09 05:11,오목교역·목동운동장,POI044,여유,32000,34000,33,18.2,91,0,0,16,19
2024-06-09 06:10,오목교역·목동운동장,POI044,여유,32000,34000,32,18.5,90,0,0,15,16
2024-06-09 07:10,오목교역·목동운동장,POI044,여유,32000,34000,31,20.7,82,0,2,13,15
2024-06-09 08:12,오목교역·목동운동장,POI044,여유,36000,38000,30,22.6,73,0,2,12,18
2024-06-09 09:57,오목교역·목동운동장,POI044,여유,40000,42000,27,22.8,68,0,6,14,13
2024-06-09 11:04,오목교역·목동운동장,POI044,여유,44000,46000,26,24.3,55,0,6,16,0
2024-06-09 12:13,오목교역·목동운동장,POI044,여유,46000,48000,26,25.8,46,0,6,14,13
2024-06-09 13:14,오목교역·목동운동장,POI044,여유,48000,50000,25,26.7,47,0,7,13,15
2024-06-09 14:11,오목교역·목동운동장,POI044,여유,48000,50000,26,27.5,49,0,7,20,27
2024-06-09 15:15,오목교역·목동운동장,POI044,여유,48000,50000,27,28.6,45,0,7,24,31
2024-06-09 16:11,오목교역·목동운동장,POI044,여유,46000,48000,26,27.7,47,0,6,27,30
2024-06-09 17:13,오목교역·목동운동장,POI044,보통,48000,50000,26,27,45,0,6,26,30
2024-06-09 18:13,오목교역·목동운동장,POI044,여유,42000,44000,27,26.4,48,0,6,28,38
2024-06-09 19:11,오목교역·목동운동장,POI044,여유,42000,44000,28,24.6,55,0,1,21,33
2024-06-09 20:09,오목교역·목동운동장,POI044,여유,40000,42000,29,23.6,60,0,1,19,31
2024-06-09 21:20,오목교역·목동운동장,POI044,여유,38000,40000,29,22.8,64,0,0,20,30
2024-06-09 22:12,오목교역·목동운동장,POI044,여유,38000,40000,29,22.5,66,0,0,17,28
2024-06-09 23:11,오목교역·목동운동장,POI044,여유,34000,36000,31,21.9,69,0,0,19,28
2024-06-10 00:11,오목교역·목동운동장,POI044,여유,32000,34000,32,21.4,72,0,0,22,29
2024-06-10 01:13,오목교역·목동운동장,POI044,여유,38000,40000,33,20.7,78,0,0,22,29
2024-06-10 02:11,오목교역·목동운동장,POI044,여유,36000,38000,33,20.3,81,0,0,25,32
2024-06-10 03:14,오목교역·목동운동장,POI044,여유,36000,38000,33,20.3,79,0,0,22,28
2024-06-10 04:10,오목교역·목동운동장,POI044,여유,36000,38000,32,19.7,84,0,0,22,34
2024-06-10 05:13,오목교역·목동운동장,POI044,여유,36000,38000,33,19.7,84,0,0,28,39
2024-06-10 06:12,오목교역·목동운동장,POI044,여유,36000,38000,31,20.4,80,0,0,30,38
2024-06-10 07:11,오목교역·목동운동장,POI044,여유,38000,40000,27,22.2,72,0,2,35,41
2024-06-10 08:12,오목교역·목동운동장,POI044,여유,38000,40000,23,23.1,65,0,2,26,31
2024-06-10 09:54,오목교역·목동운동장,POI044,여유,46000,48000,24,25.4,48,0,7,22,0
2024-06-10 11:01,오목교역·목동운동장,POI044,여유,46000,48000,26,26.9,51,0,7,16,0
2024-06-10 11:37,오목교역·목동운동장,POI044,여유,42000,44000,27,26.5,51,0,7,16,0
2024-06-10 12:13,오목교역·목동운동장,POI044,여유,44000,46000,27,27.5,50,0,7,16,22
2024-06-10 13:17,오목교역·목동운동장,POI044,여유,44000,46000,26,29.7,44,0,8,22,31
2024-06-10 14:12,오목교역·목동운동장,POI044,여유,40000,42000,26,29.9,43,0,8,24,41
2024-06-10 15:17,오목교역·목동운동장,POI044,여유,42000,44000,26,30.1,43,0,8,27,44
2024-06-10 16:12,오목교역·목동운동장,POI044,여유,44000,46000,24,29.6,48,0,5,29,49
2024-06-10 17:16,오목교역·목동운동장,POI044,여유,48000,50000,22,28.4,51,0,5,33,49
2024-06-10 18:14,오목교역·목동운동장,POI044,약간 붐빔,54000,56000,22,26.9,56,0,5,33,47
2024-06-10 19:14,오목교역·목동운동장,POI044,약간 붐빔,56000,58000,23,25.8,63,0,1,34,47
2024-06-10 20:11,오목교역·목동운동장,POI044,보통,50000,52000,27,24.2,70,0,1,28,46
2024-06-10 21:21,오목교역·목동운동장,POI044,여유,48000,50000,28,23.7,73,0,0,32,51
2024-06-10 22:15,오목교역·목동운동장,POI044,여유,42000,44000,27,23.2,76,0,0,31,48
2024-06-10 23:13,오목교역·목동운동장,POI044,여유,40000,42000,30,23.1,77,0,0,30,48
2024-06-11 00:13,오목교역·목동운동장,POI044,여유,38000,40000,32,22.9,77,0,0,30,48
2024-06-11 01:15,오목교역·목동운동장,POI044,여유,38000,40000,32,22.4,80,0,0,34,51
2024-06-11 02:10,오목교역·목동운동장,POI044,여유,36000,38000,34,22.3,79,0,0,41,55
2024-06-11 03:15,오목교역·목동운동장,POI044,여유,36000,38000,34,22,79,0,0,40,51
2024-06-11 04:10,오목교역·목동운동장,POI044,여유,36000,38000,35,22,78,0,0,45,54
2024-06-11 05:12,오목교역·목동운동장,POI044,여유,36000,38000,34,21.8,79,0,0,38,44
2024-06-11 06:12,오목교역·목동운동장,POI044,여유,38000,40000,31,22,77,0,0,40,43
2024-06-11 07:13,오목교역·목동운동장,POI044,여유,38000,40000,27,22.2,75,0,1,43,47
2024-06-11 08:11,오목교역·목동운동장,POI044,여유,38000,40000,24,22.5,73,0,1,45,50
2024-06-11 09:53,오목교역·목동운동장,POI044,여유,46000,48000,25,24.8,63,0,8,44,48
2024-06-11 10:58,오목교역·목동운동장,POI044,여유,46000,48000,25,26.2,59,0,8,44,61
2024-06-11 11:33,오목교역·목동운동장,POI044,여유,42000,44000,26,27.3,53,0,8,44,61
2024-06-11 12:14,오목교역·목동운동장,POI044,여유,42000,44000,26,28.3,52,0,8,39,55
2024-06-11 13:14,오목교역·목동운동장,POI044,여유,44000,46000,26,29.2,51,0,5,42,58
2024-06-11 14:13,오목교역·목동운동장,POI044,여유,40000,42000,26,29.6,52,0,5,44,59
2024-06-11 15:16,오목교역·목동운동장,POI044,여유,42000,44000,25,30.5,41,0,5,52,66
2024-06-11 16:12,오목교역·목동운동장,POI044,여유,42000,44000,24,29.4,44,0,5,52,66
2024-06-11 17:15,오목교역·목동운동장,POI044,여유,46000,48000,22,28.6,41,0,5,47,60
2024-06-11 18:14,오목교역·목동운동장,POI044,약간 붐빔,54000,56000,22,27.8,44,0,5,33,56
2024-06-11 19:13,오목교역·목동운동장,POI044,약간 붐빔,56000,58000,22,25.7,52,0,1,19,39
2024-06-11 20:11,오목교역·목동운동장,POI044,보통,50000,52000,26,24.8,54,0,1,15,43
2024-06-11 21:22,오목교역·목동운동장,POI044,여유,48000,50000,28,23.8,62,0,0,15,33
2024-06-11 22:15,오목교역·목동운동장,POI044,여유,44000,46000,29,23,63,0,0,14,27
2024-06-11 23:11,오목교역·목동운동장,POI044,여유,42000,44000,30,22.6,65,0,0,13,22
