시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,DMC(디지털미디어시티),POI084,여유,18000,20000,23,24.7,64,0,6,18,28
2024-06-08 17:14,DMC(디지털미디어시티),POI084,여유,18000,20000,23,24.6,57,0,6,11,18
2024-06-08 18:14,DMC(디지털미디어시티),POI084,여유,16000,18000,23,24.5,64,0,6,7,19
2024-06-08 19:13,DMC(디지털미디어시티),POI084,여유,18000,20000,25,22.9,71,0,1,10,14
2024-06-08 20:11,DMC(디지털미디어시티),POI084,여유,16000,18000,25,21.5,79,0,1,12,13
2024-06-08 21:20,DMC(디지털미디어시티),POI084,여유,16000,18000,25,20.3,85,0,0,12,16
2024-06-08 22:12,DMC(디지털미디어시티),POI084,여유,12000,14000,26,19.7,90,0,0,15,20
2024-06-08 23:11,DMC(디지털미디어시티),POI084,여유,12000,14000,27,19.2,91,0,0,16,23
2024-06-09 00:12,DMC(디지털미디어시티),POI084,여유,12000,14000,29,18.8,91,0,0,18,22
2024-06-09 01:16,DMC(디지털미디어시티),POI084,여유,12000,14000,28,18.2,93,0,0,16,24
2024-06-09 02:11,DMC(디지털미디어시티),POI084,여유,12000,14000,29,17.9,95,0,0,14,20
2024-06-09 03:14,DMC(디지털미디어시티),POI084,여유,12000,14000,30,17.7,96,0,0,13,19
2024-06-09 04:10,DMC(디지털미디어시티),POI084,여유,12000,14000,30,16.8,96,0,0,16,17
2024-06-09 05:12,DMC(디지털미디어시티),POI084,여유,12000,14000,30,16.5,96,0,0,13,20
2024-06-09 06:11,DMC(디지털미디어시티),POI084,여유,12000,14000,28,17.1,97,0,0,18,25
2024-06-09 07:11,DMC(디지털미디어시티),POI084,여유,12000,14000,28,17.9,94,0,2,17,23
2024-06-09 08:12,DMC(디지털미디어시티),POI084,여유,14000,16000,27,18.9,91,0,2,14,22
2024-06-09 09:58,DMC(디지털미디어시티),POI084,여유,16000,18000,24,22.1,74,0,6,15,25
2024-06-09 11:05,DMC(디지털미디어시티),POI084,여유,16000,18000,24,23.7,57,0,6,14,28
2024-06-09 12:14,DMC(디지털미디어시티),POI084,여유,18000,20000,24,25.8,40,0,6,16,33
2024-06-09 13:15,DMC(디지털미디어시티),POI084,여유,18000,20000,24,26.3,53,0,7,14,23
2024-06-09 14:12,DMC(디지털미디어시티),POI084,여유,18000,20000,24,27.5,49,0,7,17,28
2024-06-09 15:16,DMC(디지털미디어시티),POI084,여유,18000,20000,24,28.9,45,0,7,20,28
2024-06-09 16:12,DMC(디지털미디어시티),POI084,여유,18000,20000,23,27.5,46,0,6,29,40
2024-06-09 17:14,DMC(디지털미디어시티),POI084,여유,18000,20000,24,27,54,0,6,31,43
2024-06-09 18:13,DMC(디지털미디어시티),POI084,여유,18000,20000,24,25.4,61,0,6,30,41
2024-06-09 19:12,DMC(디지털미디어시티),POI084,여유,16000,18000,24,23.8,65,0,1,23,36
2024-06-09 20:10,DMC(디지털미디어시티),POI084,여유,16000,18000,25,22.8,70,0,1,24,28
2024-06-09 21:21,DMC(디지털미디어시티),POI084,여유,16000,18000,26,21.7,73,0,0,18,27
2024-06-09 22:12,DMC(디지털미디어시티),POI084,여유,12000,14000,26,21.5,73,0,0,21,33
2024-06-09 23:11,DMC(디지털미디어시티),POI084,여유,12000,14000,27,20.6,80,0,0,21,31
2024-06-10 00:12,DMC(디지털미디어시티),POI084,여유,10000,12000,29,20.5,81,0,0,25,37
2024-06-10 01:14,DMC(디지털미디어시티),POI084,여유,16000,18000,29,20.1,82,0,0,20,31
2024-06-10 02:12,DMC(디지털미디어시티),POI084,여유,16000,18000,30,20.3,81,0,0,23,36
2024-06-10 03:15,DMC(디지털미디어시티),POI084,여유,16000,18000,30,18.8,90,0,0,21,28
2024-06-10 04:11,DMC(디지털미디어시티),POI084,여유,16000,18000,30,18.4,91,0,0,22,30
2024-06-10 05:13,DMC(디지털미디어시티),POI084,여유,16000,18000,30,18.7,91,0,0,22,29
2024-06-10 06:12,DMC(디지털미디어시티),POI084,여유,16000,18000,27,19.7,87,0,0,28,36
2024-06-10 07:12,DMC(디지털미디어시티),POI084,여유,18000,20000,25,21.5,78,0,2,29,35
2024-06-10 08:12,DMC(디지털미디어시티),POI084,여유,24000,26000,23,23.3,65,0,2,24,29
2024-06-10 09:55,DMC(디지털미디어시티),POI084,약간 붐빔,38000,40000,22,25.4,52,0,7,24,37
2024-06-10 11:01,DMC(디지털미디어시티),POI084,약간 붐빔,40000,42000,23,27.2,54,0,7,20,38
2024-06-10 11:38,DMC(디지털미디어시티),POI084,약간 붐빔,40000,42000,23,27.6,53,0,7,20,38
2024-06-10 12:14,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,23,28.5,49,0,7,23,40
2024-06-10 13:18,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,24,30,46,0,8,25,47
2024-06-10 14:13,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,23,29.9,43,0,8,26,49
2024-06-10 15:18,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,23,31.4,44,0,8,28,53
2024-06-10 16:13,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,23,30,49,0,5,32,61
2024-06-10 17:17,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,22,28.5,53,0,5,34,61
2024-06-10 18:15,DMC(디지털미디어시티),POI084,약간 붐빔,42000,44000,21,27.4,58,0,5,39,66
2024-06-10 19:14,DMC(디지털미디어시티),POI084,보통,34000,36000,22,24.9,71,0,1,33,58
2024-06-10 20:11,DMC(디지털미디어시티),POI084,여유,30000,32000,25,23.7,77,0,1,31,52
2024-06-10 21:22,DMC(디지털미디어시티),POI084,여유,26000,28000,26,23.2,79,0,0,32,47
2024-06-10 22:15,DMC(디지털미디어시티),POI084,여유,22000,24000,26,22.7,83,0,0,34,55
2024-06-10 23:14,DMC(디지털미디어시티),POI084,여유,22000,24000,27,23,81,0,0,33,50
2024-06-11 00:14,DMC(디지털미디어시티),POI084,여유,18000,20000,29,23.3,77,0,0,33,50
2024-06-11 01:15,DMC(디지털미디어시티),POI084,여유,16000,18000,30,23.1,79,0,0,34,52
2024-06-11 02:11,DMC(디지털미디어시티),POI084,여유,16000,18000,30,22.8,80,0,0,45,60
2024-06-11 03:16,DMC(디지털미디어시티),POI084,여유,16000,18000,30,22.5,80,0,0,42,60
2024-06-11 04:11,DMC(디지털미디어시티),POI084,여유,16000,18000,30,22.5,79,0,0,43,64
2024-06-11 05:13,DMC(디지털미디어시티),POI084,여유,16000,18000,29,22.3,81,0,0,37,53
2024-06-11 06:13,DMC(디지털미디어시티),POI084,여유,16000,18000,27,22.3,79,0,0,36,54
2024-06-11 07:13,DMC(디지털미디어시티),POI084,여유,18000,20000,24,22.8,76,0,1,43,61
