시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,용산역,POI046,붐빔,26000,28000,23,24.5,61,0,6,17,32
2024-06-08 17:13,용산역,POI046,붐빔,26000,28000,23,23.9,60,0,6,12,24
2024-06-08 18:13,용산역,POI046,붐빔,24000,26000,24,23.6,62,0,6,18,19
2024-06-08 19:12,용산역,POI046,약간 붐빔,22000,24000,24,22.6,66,0,1,7,15
2024-06-08 20:10,용산역,POI046,약간 붐빔,20000,22000,26,21.6,70,0,1,12,19
2024-06-08 21:19,용산역,POI046,보통,16000,18000,26,21.1,73,0,1,8,0
2024-06-08 22:12,용산역,POI046,여유,10000,12000,26,20.4,77,0,0,9,24
2024-06-08 23:11,용산역,POI046,여유,8000,8500,28,20.4,76,0,0,11,20
2024-06-09 00:12,용산역,POI046,여유,5000,5500,31,19.7,79,0,0,13,19
2024-06-09 01:15,용산역,POI046,여유,4500,5000,29,19.3,88,0,0,11,22
2024-06-09 02:11,용산역,POI046,여유,3500,4000,31,18.9,90,0,0,13,24
2024-06-09 03:14,용산역,POI046,여유,3500,4000,30,19,87,0,0,14,27
2024-06-09 04:10,용산역,POI046,여유,3500,4000,30,18.9,87,0,0,16,26
2024-06-09 05:11,용산역,POI046,여유,3500,4000,29,18.2,90,0,0,12,26
2024-06-09 06:10,용산역,POI046,여유,3500,4000,28,17.9,92,0,0,15,24
