시각,지역명,지역코드,혼잡도,최소인구수,최대인구수,전체도로소통평균속도,기온,습도,강수량,자외선지수단계,초미세먼지농도,미세먼지농도
2024-06-08 16:12,해방촌·경리단길,POI082,여유,5500,6000,31,24.5,61,0,6,17,32
2024-06-08 17:14,해방촌·경리단길,POI082,보통,6000,6500,30,23.9,60,0,6,12,24
2024-06-08 18:14,해방촌·경리단길,POI082,보통,6500,7000,31,23.6,62,0,6,18,19
2024-06-08 19:12,해방촌·경리단길,POI082,보통,6500,7000,33,22.6,66,0,1,7,15
2024-06-08 20:11,해방촌·경리단길,POI082,보통,7000,7500,34,21.6,70,0,1,12,19
2024-06-08 21:20,해방촌·경리단길,POI082,보통,6500,7000,34,20.7,75,0,0,8,0
2024-06-08 22:12,해방촌·경리단길,POI082,보통,6000,6500,35,20.4,77,0,0,9,24
2024-06-08 23:11,해방촌·경리단길,POI082,여유,5500,6000,37,20.4,76,0,0,11,20
2024-06-09 00:12,해방촌·경리단길,POI082,여유,4500,5000,35,19.7,79,0,0,13,19
2024-06-09 01:16,해방촌·경리단길,POI082,여유,4000,4500,38,19.3,88,0,0,11,22
2024-06-09 02:11,해방촌·경리단길,POI082,여유,4000,4500,38,18.9,90,0,0,13,24
2024-06-09 03:14,해방촌·경리단길,POI082,여유,3500,4000,39,19,87,0,0,14,27
2024-06-09 04:10,해방촌·경리단길,POI082,여유,3500,4000,38,18.8,87,0,0,16,26
2024-06-09 05:12,해방촌·경리단길,POI082,여유,3500,4000,39,18.2,90,0,0,12,26
2024-06-09 06:11,해방촌·경리단길,POI082,여유,3500,4000,38,17.9,92,0,0,15,24
2024-06-09 07:11,해방촌·경리단길,POI082,여유,3500,4000,38,19.6,84,0,2,12,23
2024-06-09 08:12,해방촌·경리단길,POI082,여유,3500,4000,36,20.5,78,0,2,17,31
2024-06-09 09:58,해방촌·경리단길,POI082,여유,4000,4500,35,23.9,55,0,6,17,36
2024-06-09 11:05,해방촌·경리단길,POI082,여유,4500,5000,35,24.5,53,0,6,14,28
2024-06-09 12:14,해방촌·경리단길,POI082,여유,5000,5500,33,25.6,51,0,6,9,23
2024-06-09 13:15,해방촌·경리단길,POI082,여유,5500,6000,33,26.7,47,0,7,13,26
2024-06-09 14:12,해방촌·경리단길,POI082,여유,6000,6500,31,27.5,44,0,7,17,30
2024-06-09 15:16,해방촌·경리단길,POI082,여유,6000,6500,31,28.5,44,0,7,23,36
2024-06-09 16:12,해방촌·경리단길,POI082,여유,6000,6500,30,27.9,45,0,6,28,39
2024-06-09 17:14,해방촌·경리단길,POI082,여유,6000,6500,32,27,49,0,6,24,39
2024-06-09 18:13,해방촌·경리단길,POI082,보통,6000,6500,33,26.5,51,0,6,26,39
2024-06-09 19:12,해방촌·경리단길,POI082,보통,6000,6500,34,24.7,54,0,1,23,39
